offense,offenseConference,defense,defenseConference,gameId,id,driveNumber,scoring,startPeriod,startYardline,startYardsToGoal,startTime,endPeriod,endYardline,endYardsToGoal,endTime,plays,yards,driveResult,isHomeOffense,startOffenseScore,startDefenseScore,endOffenseScore,endDefenseScore
Virginia Tech,ACC,USC,Pac-10,242410259,24241025901,1,False,1,28,72,"{'seconds': 55, 'minutes': 14}",1,34,66,"{'seconds': 31, 'minutes': 12}",5,6,PUNT,True,0,0,0,0
USC,Pac-10,Virginia Tech,ACC,242410259,24241025902,2,False,1,79,79,"{'seconds': 31, 'minutes': 12}",1,37,37,"{'seconds': 55, 'minutes': 10}",8,42,PUNT,False,0,0,0,0
Virginia Tech,ACC,USC,Pac-10,242410259,24241025903,3,False,1,20,80,"{'seconds': 55, 'minutes': 10}",1,66,34,"{'seconds': 34, 'minutes': 8}",7,46,INT,True,0,0,0,0
USC,Pac-10,Virginia Tech,ACC,242410259,24241025904,4,True,1,46,46,"{'seconds': 34, 'minutes': 8}",1,0,0,"{'seconds': 59, 'minutes': 5}",5,46,PASSING TD,False,0,0,7,0
Virginia Tech,ACC,USC,Pac-10,242410259,24241025905,5,False,1,0,100,"{'seconds': 59, 'minutes': 5}",1,20,80,"{'seconds': 59, 'minutes': 5}",1,0,KICKOFF,True,0,7,0,7
Virginia Tech,ACC,USC,Pac-10,242410259,24241025906,6,True,1,20,80,"{'seconds': 59, 'minutes': 5}",1,82,18,"{'seconds': 42, 'minutes': 1}",9,62,MADE FG,True,0,7,3,7
USC,Pac-10,Virginia Tech,ACC,242410259,24241025907,7,False,1,0,0,"{'seconds': 42, 'minutes': 1}",1,82,82,"{'seconds': 35, 'minutes': 1}",1,0,KICKOFF,False,7,3,7,3
USC,Pac-10,Virginia Tech,ACC,242410259,24241025908,8,False,1,82,82,"{'seconds': 35, 'minutes': 1}",2,23,23,"{'seconds': 33, 'minutes': 11}",11,59,MISSED FG,False,7,3,7,3
Virginia Tech,ACC,USC,Pac-10,242410259,24241025909,9,True,2,17,83,"{'seconds': 33, 'minutes': 11}",2,100,0,"{'seconds': 19, 'minutes': 6}",10,83,PASSING TD,True,3,7,10,7
USC,Pac-10,Virginia Tech,ACC,242410259,24241025910,10,False,2,0,0,"{'seconds': 19, 'minutes': 6}",2,85,85,"{'seconds': 12, 'minutes': 6}",1,0,KICKOFF,False,7,10,7,10
