game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownEff,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
332410006,2013,1,regular,away,253,Southern Utah,Big Sky,6,South Alabama,Sun Belt,13-24,14,1-1,0,0,0,0,0,0,50,3,10,183,1,1,33:45,0,4,1,40,1,134,5-15,5-35,317,0,7.6,3.3
332410006,2013,1,regular,home,6,South Alabama,Sun Belt,253,Southern Utah,Big Sky,18-28,16,0-0,0,0,0,0,1,0,61,2,3,148,0,2,26:15,0,3,2,34,1,187,5-14,7-60,335,1,5.3,5.5
332410023,2013,1,regular,away,16,Sacramento State,Big Sky,23,San José State,Mountain West,23-40,18,2-4,0,0,0,0,2,0,38,2,0,192,0,0,36:08,0,10,1,39,0,86,8-21,8-45,278,2,4.8,2.2
332410023,2013,1,regular,home,23,San José State,Mountain West,16,Sacramento State,Big Sky,16-32,15,1-2,0,0,0,33,0,0,0,0,6,225,2,2,23:52,0,16,2,29,1,142,7-16,3-20,367,0,7.0,4.9
332410041,2013,1,regular,away,119,Towson,CAA,41,UConn,American Athletic,13-20,17,2-3,0,1,0,0,1,0,64,3,3,192,1,1,36:23,0,0,0,50,4,201,7-16,7-70,393,1,9.6,4.0
332410041,2013,1,regular,home,41,UConn,American Athletic,119,Towson,CAA,16-28,15,1-2,1,0,0,0,1,0,110,6,4,206,1,2,35:41,0,2,2,28,0,84,4-13,5-35,290,2,7.4,3.0
332410062,2013,1,regular,away,30,USC,Pac-12,62,Hawai'i,Mountain West,15-29,23,1-2,1,0,1,35,1,0,22,1,12,172,4,1,47:10,0,8,2,45,1,192,3-14,9-75,364,2,5.9,4.3
332410062,2013,1,regular,home,62,Hawai'i,Mountain West,30,USC,Pac-12,16-41,15,1-2,0,1,0,0,4,0,131,7,3,208,1,1,26:05,0,11,3,31,0,23,4-18,4-48,231,4,5.1,0.7
332410084,2013,1,regular,away,282,Indiana State,MVFC,84,Indiana,Big Ten,12-32,15,1-3,1,1,1,30,1,0,93,5,5,175,2,3,27:42,0,3,2,39,0,131,3-16,7-83,306,2,5.5,3.4
332410084,2013,1,regular,home,84,Indiana,Big Ten,282,Indiana State,MVFC,17-30,29,1-2,1,1,0,28,2,0,31,3,13,319,1,6,32:29,1,90,4,54,3,313,9-18,6-66,632,3,10.6,5.8
332410135,2013,1,regular,away,2439,UNLV,Mountain West,135,Minnesota,Big Ten,36-51,21,4-4,0,0,0,0,2,0,128,6,5,226,1,2,31:56,0,5,1,34,1,193,6-18,1-15,419,2,4.4,5.7
332410135,2013,1,regular,home,135,Minnesota,Big Ten,2439,UNLV,Mountain West,10-23,17,1-1,0,0,1,89,1,1,148,4,9,99,2,1,27:52,0,15,1,38,3,221,8-14,1-5,320,1,4.3,5.8
332410154,2013,1,regular,away,2506,Presbyterian,Big South,154,Wake Forest,ACC,11-19,2,0-0,3,2,0,0,3,0,120,5,1,49,0,1,21:39,0,0,0,24,0,102,2-11,6-43,151,6,2.6,4.3
