game_id,season,week,season_type,home_away,team_id,team,conference,opponent_id,opponent,opponent_conference,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,yardsPerPass,yardsPerRushAttempt
401207098,2020,1,regular,away,2277,Houston Christian,Southland,249,North Texas,Conference USA,39-62,0,28,1-2,0,0,0,0,0,0,63,5,7,480,4,1,3,31:41,0,0,1,1,24,1,89,0,41,1,8-18,0,9-78,569,0,7.7,3.7
401207098,2020,1,regular,home,249,North Texas,Conference USA,2277,Houston Christian,Southland,21-34,0,33,3-3,0,0,0,0,1,0,0,0,9,361,2,0,4,22:43,0,5,2,4,52,4,360,1,38,5,11-17,0,6-48,721,1,10.6,6.9
401207101,2020,1,regular,away,6,South Alabama,Sun Belt,2572,Southern Miss,Conference USA,18-30,0,23,2-2,0,0,0,0,2,0,27,2,8,363,2,0,3,29:08,0,0,0,3,38,1,163,2,23,5,7-12,0,4-38,526,2,12.1,4.3
401207101,2020,1,regular,home,2572,Southern Miss,Conference USA,6,South Alabama,Sun Belt,22-32,0,20,1-2,0,0,0,23,0,0,61,2,7,314,1,2,0,30:52,0,0,0,1,37,2,95,0,23,2,5-14,0,7-49,409,0,9.8,2.6
401207102,2020,8,regular,away,236,Chattanooga,Southern,98,Western Kentucky,Conference USA,9-23,0,13,2-5,0,2,0,0,0,0,0,0,4,90,1,0,0,32:21,0,0,0,2,42,1,135,1,38,10,5-15,0,4-34,225,0,3.9,3.2
401207102,2020,8,regular,home,98,Western Kentucky,Conference USA,236,Chattanooga,Southern,16-25,0,14,3-4,2,0,0,0,0,0,34,3,7,132,5,0,1,26:55,0,-3,1,1,33,0,122,2,31,3,3-12,0,3-25,254,2,5.3,3.7
401207106,2020,3,regular,away,2348,Louisiana Tech,Conference USA,2572,Southern Miss,Conference USA,24-35,0,26,2-3,0,0,0,23,1,0,66,3,7,218,0,1,4,27:52,0,0,0,0,42,0,163,2,22,6,10-16,0,7-48,381,1,6.2,3.9
401207106,2020,3,regular,home,2572,Southern Miss,Conference USA,2348,Louisiana Tech,Conference USA,23-31,0,20,1-2,0,0,0,15,1,0,149,5,6,240,4,1,3,27:02,0,0,0,2,29,1,137,3,35,6,7-12,0,5-45,377,1,7.7,4.7
401207113,2020,2,regular,away,2636,UTSA,Conference USA,326,Texas State,Sun Belt,23-31,1,24,0-0,0,0,1,84,0,0,30,2,15,169,1,2,1,30:16,0,16,3,3,51,4,330,5,40,14,7-17,0,11-126,499,0,5.5,6.5
401207113,2020,2,regular,home,326,Texas State,Sun Belt,2636,UTSA,Conference USA,27-40,1,26,1-2,0,0,0,0,2,0,115,5,6,349,2,0,4,28:28,1,149,4,0,37,2,125,1,43,8,5-15,0,6-55,474,2,8.7,3.4
