id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,offenseTimeouts,defenseTimeouts,wallclock
2432524260403,24325242604,243252426,4,3,Rutgers,Big East,0,Navy,Navy,Rutgers,FBS Independents,7,1,"{'seconds': 42, 'minutes': 9}",76,76,3,6,6,False,Pass Completion,Ryan Hart (RU) pass right side complete to Tres Moses (RU) for 6 yards.,1.2965557740646787,,,
2432524260409,24325242604,243252426,4,9,Rutgers,Big East,0,Navy,Navy,Rutgers,FBS Independents,7,1,"{'seconds': 22, 'minutes': 8}",46,46,1,10,2,False,Rush,Clarence Pittman (RU) rushed up the middle for 2 yards.,-0.5661525320140282,,,
2432524260413,24325242604,243252426,4,13,Rutgers,Big East,6,Navy,Navy,Rutgers,FBS Independents,7,1,"{'seconds': 42, 'minutes': 7}",16,16,2,1,16,True,Pass Completion,Ryan Hart (RU) pass right side complete to Clark Harris (RU) for a 16 yard touchdown.,,,,
2432524260407,24325242604,243252426,4,7,Rutgers,Big East,0,Navy,Navy,Rutgers,FBS Independents,7,1,"{'seconds': 42, 'minutes': 8}",59,59,1,10,9,False,Pass Completion,Ryan Hart (RU) pass left side complete to Clark Harris (RU) for 9 yards.,1.3220501527298012,,,
2432524260414,24325242604,243252426,4,14,Rutgers,Big East,7,Navy,Navy,Rutgers,FBS Independents,7,1,"{'seconds': 12, 'minutes': 4}",0,0,0,0,0,True,Extra Point Good,Extra point by Jeremy Ito (RU) is good.,,,,
2432524260404,24325242604,243252426,4,4,Rutgers,Big East,0,Navy,Navy,Rutgers,FBS Independents,7,1,"{'seconds': 2, 'minutes': 9}",70,70,1,10,-4,False,Rush,Orlando Kane (RU) rushed up the middle for -4 yards.,-1.2752756944580659,,,
2432524260405,24325242604,243252426,4,5,Rutgers,Big East,0,Navy,Navy,Rutgers,FBS Independents,7,1,"{'seconds': 2, 'minutes': 9}",74,74,2,14,2,False,Rush,Clarence Pittman (RU) rushed right side for 2 yards.,-0.16266871067785438,,,
2432524262205,24325242622,243252426,22,5,Rutgers,Big East,7,Navy,Navy,Rutgers,FBS Independents,40,2,"{'seconds': 25, 'minutes': 1}",57,57,2,9,0,False,Pass Incompletion,Ryan Hart (RU) pass incomplete to the right side.,-0.9030775559550781,,,
2432524262203,24325242622,243252426,22,3,Rutgers,Big East,7,Navy,Navy,Rutgers,FBS Independents,40,2,"{'seconds': 45, 'minutes': 1}",62,62,3,1,4,False,Rush,Brian Leonard (RU) rushed up the middle for 4 yards.,1.2505997934665967,,,
2432524262202,24325242622,243252426,22,2,Rutgers,Big East,7,Navy,Navy,Rutgers,FBS Independents,40,2,"{'seconds': 5, 'minutes': 2}",62,62,2,1,0,False,Pass Incompletion,Ryan Hart (RU) pass incomplete across the middle.,-1.3737127893864507,,,
