id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,offenseTimeouts,defenseTimeouts,ppa,wallclock
313650238196,31365023824,313650238,25,3,Vanderbilt,SEC,21,Cincinnati,Vanderbilt,Cincinnati,Big East,17,4,"{'seconds': 3, 'minutes': 14}",97,3,-1,-1,0,True,Extra Point Good,Ryan Fowler extra point GOOD.,,,,
313650238195,31365023824,313650238,25,2,Vanderbilt,SEC,20,Cincinnati,Vanderbilt,Cincinnati,Big East,17,4,"{'seconds': 3, 'minutes': 14}",32,68,2,2,68,True,Pass Completion,Larry Smith pass complete to Chris Boyd for 68 yards for a TOUCHDOWN.,,,,
313650238194,31365023824,313650238,25,1,Vanderbilt,SEC,14,Cincinnati,Vanderbilt,Cincinnati,Big East,17,4,"{'seconds': 25, 'minutes': 14}",24,76,1,10,8,False,Rush,Larry Smith rush for 8 yards to the Vandy 32.,,,0.8892177775023722,
313650238211,31365023827,313650238,27,7,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 41, 'minutes': 9}",51,51,2,10,0,False,Pass Incompletion,Zach Collaros pass incomplete to Isaiah Pead.,,,-1.005741646158441,
313650238212,31365023827,313650238,27,8,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 33, 'minutes': 9}",51,51,3,10,0,False,Pass Interception,"Zach Collaros pass intercepted by Casey Hayward at the Vandy 18, returned for no gain to the Vandy 18.",,,-0.9406919781352787,
313650238209,31365023827,313650238,27,5,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 45, 'minutes': 9}",51,51,1,10,0,False,Pass Incompletion,"Zach Collaros pass incomplete to Isaiah Pead, broken up by Javon Marshall.",,,-1.1301991718133413,
313650238205,31365023827,313650238,27,1,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 55, 'minutes': 11}",78,78,1,10,12,False,Pass Completion,Zach Collaros pass complete to Alex Chisum for 12 yards to the Cincy 34 for a 1ST down.,,,0.935215412611508,
313650238210,31365023827,313650238,27,6,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 45, 'minutes': 9}",51,51,2,10,0,False,Timeout,"Timeout CINCINNATI, clock 9:45.",,,,
313650238206,31365023827,313650238,27,2,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 35, 'minutes': 11}",66,66,1,10,1,False,Rush,Isaiah Pead rush for 1 yard to the Cincy 35.,,,-0.8121551588526277,
313650238207,31365023827,313650238,27,3,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 55, 'minutes': 10}",65,65,2,9,8,False,Rush,Isaiah Pead rush for 8 yards to the Cincy 43.,,,0.7615492190977395,
313650238208,31365023827,313650238,27,4,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 11, 'minutes': 10}",57,57,3,1,6,False,Rush,George Winn rush for 6 yards to the Cincy 49 for a 1ST down.,,,1.4640081255915633,
313650238162,31365023821,313650238,22,3,Cincinnati,Big East,14,Vanderbilt,Vanderbilt,Cincinnati,SEC,7,3,"{'seconds': 0, 'minutes': 7}",84,84,3,9,7,False,Pass Completion,Zach Collaros pass complete to Isaiah Pead for 7 yards to the Cincy 23.,,,0.10750713495303454,
313650238158,31365023821,313650238,22,2,Cincinnati,Big East,14,Vanderbilt,Vanderbilt,Cincinnati,SEC,7,3,"{'seconds': 42, 'minutes': 7}",87,87,2,12,3,False,Rush,Isaiah Pead rush for 3 yards to the Cincy 16.,,,-0.05967366325943058,
313650238165,31365023821,313650238,22,4,Cincinnati,Big East,14,Vanderbilt,Vanderbilt,Cincinnati,SEC,7,3,"{'seconds': 17, 'minutes': 6}",77,77,4,2,0,False,Punt,"Pat O'Donnell punt for 29 yards, downed at the Vandy 48.",,,,
313650238156,31365023821,313650238,22,1,Cincinnati,Big East,14,Vanderbilt,Vanderbilt,Cincinnati,SEC,7,3,"{'seconds': 20, 'minutes': 8}",85,85,1,10,-2,False,Rush,Isaiah Pead rush for a loss of 2 yards to the Cincy 13.,,,-0.5476264915315134,
313650238234,31365023829,313650238,29,10,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 4, 'minutes': 4}",21,21,3,7,0,False,Pass Incompletion,Zach Collaros pass incomplete to Anthony McClung.,,,-0.681859869839693,
313650238226,31365023829,313650238,29,4,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 15, 'minutes': 7}",37,37,3,2,4,False,Rush,Zach Collaros rush for 4 yards to the Vandy 33 for a 1ST down.,,,0.8148350125086896,
313650238231,31365023829,313650238,29,7,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 50, 'minutes': 5}",34,34,3,11,0,False,Penalty,"VANDERBILT penalty 10 yard Pass Interference on Eddie Foster accepted, no play.",,,,
313650238227,31365023829,313650238,29,5,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 55, 'minutes': 6}",33,33,1,10,-1,False,Rush,Isaiah Pead rush for a loss of 1 yard to the Vandy 34.,,,-0.7964053957016795,
313650238232,31365023829,313650238,29,8,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 15, 'minutes': 5}",24,24,1,10,3,False,Rush,Zach Collaros rush for 3 yards to the Vandy 21.,,,-0.13566781579423,
313650238223,31365023829,313650238,29,3,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 45, 'minutes': 7}",38,38,2,3,1,False,Rush,Isaiah Pead rush for 1 yard to the Vandy 37.,,,-0.7563826646013361,
313650238233,31365023829,313650238,29,9,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 36, 'minutes': 4}",21,21,2,7,0,False,Rush,Isaiah Pead rush for no gain to the Vandy 21.,,,-0.477546833427642,
313650238222,31365023829,313650238,29,2,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 10, 'minutes': 8}",45,45,1,10,7,False,Rush,Isaiah Pead rush for 7 yards to the Vandy 38.,,,0.5149869636577264,
313650238228,31365023829,313650238,29,6,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 10, 'minutes': 6}",34,34,2,11,0,False,Rush,Isaiah Pead rush for no gain to the Vandy 34.,,,-0.9049011157252506,
313650238235,31365023829,313650238,29,11,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 58, 'minutes': 3}",21,21,4,7,39,False,Field Goal Missed,"Tony Miliano 39 yard field goal BLOCKED, Trey Wilson for 3 yards, to the Vandy 32.",,,,
313650238221,31365023829,313650238,29,1,Cincinnati,Big East,24,Vanderbilt,Vanderbilt,Cincinnati,SEC,21,4,"{'seconds': 22, 'minutes': 8}",63,63,1,10,18,False,Rush,Isaiah Pead rush for 18 yards to the Vandy 45 for a 1ST down.,,,1.5739967085106823,
