id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
400547996102929110,40054799610,400547996,10,8,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,17,2,"{'seconds': 8, 'minutes': 7}",2.0,2.0,59,41,1,10,7,False,Rush,Geoffrey Whiteside run for 7 yds to the Rutgr 34,0.4598399849082394,
400547996102964901,40054799610,400547996,10,12,Navy,FBS Independents,14,Rutgers,Navy,Rutgers,Big Ten,17,2,"{'seconds': 50, 'minutes': 3}",2.0,1.0,93,7,1,7,7,True,Rushing Touchdown,"Keenan Reynolds run for 7 yds for a TD, (Nick Sloan KICK)",2.196754630327211,
400547996102929106,40054799610,400547996,10,4,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,17,2,"{'seconds': 8, 'minutes': 7}",2.0,2.0,31,69,3,4,13,False,Rush,Ryan Williams-Jenkins run for 13 yds to the Navy 44 for a 1ST down,2.2423046218977927,
400547996102954801,40054799610,400547996,10,9,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,17,2,"{'seconds': 51, 'minutes': 4}",2.0,1.0,66,34,2,3,0,False,Timeout,"Timeout RUTGERS, clock 04:51",,
400547996102929105,40054799610,400547996,10,3,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,17,2,"{'seconds': 8, 'minutes': 7}",2.0,2.0,25,75,2,10,6,False,Rush,Keenan Reynolds run for 6 yds to the Navy 31,0.16823773848787482,
400547996103874702,40054799614,400547996,14,1,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,24,3,"{'seconds': 52, 'minutes': 12}",3.0,3.0,35,65,1,0,18,False,Kickoff,"Austin Grebe kickoff for 63 yds , Janarion Grant return for 18 yds to the NAVY 47 NAVY Penalty, illegal block (-17 Yards) to the Rutgr 37",,
400547996102997205,40054799612,400547996,12,3,Navy,FBS Independents,14,Rutgers,Navy,Rutgers,Big Ten,24,2,"{'seconds': 0, 'minutes': 0}",2.0,0.0,0,100,0,10,0,False,End of Half,End of 2nd Quarter,,
400547996102997204,40054799612,400547996,12,2,Navy,FBS Independents,14,Rutgers,Navy,Rutgers,Big Ten,24,2,"{'seconds': 27, 'minutes': 0}",2.0,0.0,25,75,1,10,-1,False,Rush,Noah Copeland run for a loss of 1 yard to the Navy 24,-0.8014893508157099,
400547996103937906,40054799615,400547996,15,4,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,3,"{'seconds': 20, 'minutes': 6}",3.0,3.0,27,73,3,8,3,False,Rush,Toneo Gulley run for 3 yds to the Navy 30,-0.09940006498990961,
400547996103937904,40054799615,400547996,15,2,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,3,"{'seconds': 20, 'minutes': 6}",3.0,3.0,25,75,1,10,2,False,Rush,Geoffrey Whiteside run for 2 yds to the Navy 27,-0.45260367932203766,
400547996103937905,40054799615,400547996,15,3,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,3,"{'seconds': 20, 'minutes': 6}",3.0,3.0,27,73,2,8,0,False,Pass Incompletion,"Keenan Reynolds pass incomplete to Geoffrey Whiteside, broken up by Quentin Gause",-0.4788075161366292,
400547996103937907,40054799615,400547996,15,5,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,3,"{'seconds': 20, 'minutes': 6}",3.0,3.0,30,70,4,5,0,False,Punt,"Pablo Beltran punt for 40 yds, fair catch by Janarion Grant at the Rutgr 30",,
400547996101865201,4005479962,400547996,2,3,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 47, 'minutes': 13}",3.0,3.0,99,1,1,1,1,True,Rushing Touchdown,"Keenan Reynolds run for 1 yd for a TD, (Nick Sloan KICK)",0.938021275120443,
400547996101855201,4005479962,400547996,2,1,Navy,FBS Independents,0,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 47, 'minutes': 14}",3.0,3.0,75,25,1,10,5,False,Rush,Ryan Williams-Jenkins run for 5 yds to the Rutgr 20,0.0753631044225715,
400547996101855202,4005479962,400547996,2,2,Navy,FBS Independents,0,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 47, 'minutes': 14}",3.0,3.0,80,20,2,5,19,False,Rush,Geoffrey Whiteside run for 19 yds to the Rutgr 1 for a 1ST down,1.686699982723043,
400547996103849905,40054799613,400547996,13,5,Navy,FBS Independents,14,Rutgers,Navy,Rutgers,Big Ten,24,3,"{'seconds': 0, 'minutes': 15}",3.0,3.0,69,31,3,19,14,False,Pass Reception,Keenan Reynolds pass complete to Geoffrey Whiteside for 14 yds to the Rutgr 17,1.7113445516068104,
400547996103849904,40054799613,400547996,13,4,Navy,FBS Independents,14,Rutgers,Navy,Rutgers,Big Ten,24,3,"{'seconds': 0, 'minutes': 15}",3.0,3.0,76,24,2,12,-7,False,Sack,Keenan Reynolds sacked by David Milewski for a loss of 7 yards to the Rutgr 31,-1.9963178122673142,
400547996103849902,40054799613,400547996,13,2,Navy,FBS Independents,14,Rutgers,Navy,Rutgers,Big Ten,24,3,"{'seconds': 0, 'minutes': 15}",3.0,3.0,25,75,1,10,53,False,Pass Reception,Keenan Reynolds pass complete to Jamir Tillman for 53 yds to the Rutgr 22 for a 1ST down,3.4301323530728616,
400547996103849903,40054799613,400547996,13,3,Navy,FBS Independents,14,Rutgers,Navy,Rutgers,Big Ten,24,3,"{'seconds': 0, 'minutes': 15}",3.0,3.0,78,22,1,10,-2,False,Rush,Keenan Reynolds run for a loss of 2 yards to the Rutgr 24,-0.6012286044357436,
400547996103874701,40054799613,400547996,13,6,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,24,3,"{'seconds': 52, 'minutes': 12}",3.0,3.0,83,17,4,5,35,True,Field Goal Good,Nick Sloan 35 yd FG GOOD,-0.4661753682552927,
400547996101885502,4005479964,400547996,4,2,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 44, 'minutes': 11}",3.0,3.0,28,72,2,3,4,False,Rush,Noah Copeland run for 4 yds to the Navy 32 for a 1ST down,0.2698468383194595,
400547996101905604,4005479964,400547996,4,9,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 43, 'minutes': 9}",2.0,2.0,61,39,2,8,10,False,Pass Reception,Keenan Reynolds pass complete to Jamir Tillman for 10 yds to the Rutgr 29 for a 1ST down,0.9256994728751465,
400547996101905603,4005479964,400547996,4,8,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 43, 'minutes': 9}",2.0,2.0,59,41,1,10,2,False,Rush,Quinton Singleton run for 2 yds to the Rutgr 39,-0.4734810315767391,
400547996101905606,4005479964,400547996,4,11,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 43, 'minutes': 9}",2.0,2.0,73,27,2,8,0,False,Pass Incompletion,Keenan Reynolds pass incomplete to Brendan Dudeck,-0.6367641626727796,
400547996101905607,4005479964,400547996,4,12,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 43, 'minutes': 9}",2.0,2.0,73,27,3,8,4,False,Pass Reception,Keenan Reynolds pass complete to Brendan Dudeck for 4 yds to the Rutgr 23,-0.1173693221305481,
400547996101928401,4005479964,400547996,4,13,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 15, 'minutes': 7}",2.0,2.0,77,23,4,4,41,False,Field Goal Missed,Nick Sloan 41 yd FG MISSED,,
400547996101885504,4005479964,400547996,4,4,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 44, 'minutes': 11}",3.0,3.0,43,57,1,10,3,False,Rush,Chris Swain run for 3 yds to the Navy 46,-0.4309799951978805,
400547996101885501,4005479964,400547996,4,1,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 44, 'minutes': 11}",3.0,3.0,21,79,1,10,7,False,Rush,Keenan Reynolds run for 7 yds to the Navy 28,0.5413772358558367,
400547996101905601,4005479964,400547996,4,6,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 43, 'minutes': 9}",3.0,2.0,59,41,1,10,0,False,Timeout,"Timeout RUTGERS, clock 09:43",,
400547996101905602,4005479964,400547996,4,7,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 43, 'minutes': 9}",2.0,2.0,59,41,1,10,0,False,Timeout,"Timeout NAVY, clock 09:43",,
400547996101885505,4005479964,400547996,4,5,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 44, 'minutes': 11}",3.0,3.0,46,54,2,7,13,False,Rush,Quinton Singleton run for 13 yds to the Rutgr 41 for a 1ST down,1.6557770668126877,
400547996101885503,4005479964,400547996,4,3,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 44, 'minutes': 11}",3.0,3.0,32,68,1,10,11,False,Rush,Chris Swain run for 11 yds to the Navy 43 for a 1ST down,1.053994018130533,
400547996101905605,4005479964,400547996,4,10,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 43, 'minutes': 9}",2.0,2.0,71,29,1,10,2,False,Rush,Keenan Reynolds run for 2 yds to the Rutgr 27,-0.285086032247587,
400547996102964903,40054799611,400547996,11,1,Navy,FBS Independents,14,Rutgers,Navy,Rutgers,Big Ten,17,2,"{'seconds': 50, 'minutes': 3}",2.0,1.0,35,65,1,0,16,False,Kickoff,"Austin Grebe kickoff for 63 yds , Janarion Grant return for 16 yds to the NAVY 49 RUTGERS Penalty, HL (9 Yards) to the Rutgr 9",,
400547996104928804,40054799619,400547996,19,3,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,4,"{'seconds': 11, 'minutes': 7}",2.0,3.0,44,56,2,5,3,False,Rush,Keenan Reynolds run for 3 yds to the Navy 47,-0.4426345986280449,
400547996104928802,40054799619,400547996,19,1,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,4,"{'seconds': 11, 'minutes': 7}",2.0,3.0,25,75,1,10,14,False,Pass Reception,Keenan Reynolds pass complete to Jamir Tillman for 14 yds to the Navy 39 for a 1ST down,1.2227390832564555,
400547996104947301,40054799619,400547996,19,7,Navy,FBS Independents,24,Rutgers,Navy,Rutgers,Big Ten,31,4,"{'seconds': 26, 'minutes': 5}",2.0,3.0,86,14,3,10,14,True,Passing Touchdown,"Keenan Reynolds pass complete to Brendan Dudeck for 14 yds for a TD, (Nick Sloan KICK)",3.203536335278411,
400547996104928806,40054799619,400547996,19,5,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,4,"{'seconds': 11, 'minutes': 7}",2.0,3.0,86,14,1,10,0,False,Pass Incompletion,Keenan Reynolds pass incomplete to N/A,-0.3125697195395781,
400547996104928807,40054799619,400547996,19,6,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,4,"{'seconds': 11, 'minutes': 7}",2.0,3.0,86,14,2,10,0,False,Pass Incompletion,Keenan Reynolds pass incomplete to Geoffrey Whiteside,-0.3426834405597514,
400547996104928805,40054799619,400547996,19,4,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,4,"{'seconds': 11, 'minutes': 7}",2.0,3.0,47,53,3,2,39,False,Pass Reception,Keenan Reynolds pass complete to Noah Copeland for 39 yds to the Rutgr 14 for a 1ST down,2.6387421564742297,
400547996104928803,40054799619,400547996,19,2,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,4,"{'seconds': 11, 'minutes': 7}",2.0,3.0,39,61,1,10,5,False,Pass Reception,Keenan Reynolds pass complete to Jamir Tillman for 5 yds to the Navy 44,0.1106253034395996,
400547996103969406,40054799617,400547996,17,6,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,3,"{'seconds': 5, 'minutes': 3}",3.0,3.0,48,52,2,2,-1,False,Fumble Recovery (Own),"Ryan Williams-Jenkins run for a loss of 1 yard to the Navy 47 Ryan Williams-Jenkins fumbled, forced by Lorenzo Waters, recovered by Navy Geoffrey Whiteside",-1.6096618511979859,
400547996103969405,40054799617,400547996,17,5,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,3,"{'seconds': 5, 'minutes': 3}",3.0,3.0,40,60,1,10,8,False,Rush,"Geoffrey Whiteside run for 8 yds to the Navy 48 RUTGERS Penalty, offside defense ( Yards) declined",1.0159674518504005,
400547996103969408,40054799617,400547996,17,8,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,3,"{'seconds': 0, 'minutes': 0}",3.0,3.0,0,100,0,3,0,False,End Period,End of 3rd Quarter,,
400547996103969402,40054799617,400547996,17,2,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,3,"{'seconds': 5, 'minutes': 3}",3.0,3.0,20,80,1,10,10,False,Rush,Ryan Williams-Jenkins run for 10 yds to the Navy 30 for a 1ST down,0.6932712767007594,
400547996103969407,40054799617,400547996,17,7,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,3,"{'seconds': 5, 'minutes': 3}",3.0,3.0,47,53,3,3,-1,False,Rush,Keenan Reynolds run for a loss of 1 yard to the Navy 46,-1.1192979705691215,
400547996103969403,40054799617,400547996,17,3,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,3,"{'seconds': 5, 'minutes': 3}",3.0,3.0,30,70,1,10,7,False,Rush,Keenan Reynolds run for 7 yds to the Navy 37,0.6714265021529684,
400547996103969401,40054799617,400547996,17,1,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,3,"{'seconds': 5, 'minutes': 3}",3.0,3.0,9,91,1,10,11,False,Rush,Chris Swain run for 11 yds to the Navy 20 for a 1ST down,0.4361281604197753,
400547996103969404,40054799617,400547996,17,4,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,3,"{'seconds': 5, 'minutes': 3}",3.0,3.0,37,63,2,3,3,False,Rush,Toneo Gulley run for 3 yds to the Navy 40 for a 1ST down,0.2644594126076996,
400547996104849901,40054799617,400547996,17,9,Navy,FBS Independents,17,Rutgers,Navy,Rutgers,Big Ten,31,4,"{'seconds': 0, 'minutes': 15}",3.0,3.0,46,54,4,4,0,False,Punt,"Pablo Beltran punt for 36 yds, fair catch by Janarion Grant at the Rutgr 18",,
400547996101849902,4005479961,400547996,1,1,Navy,FBS Independents,0,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 0, 'minutes': 15}",3.0,3.0,35,65,1,10,17,False,Kickoff,"Austin Grebe kickoff for 65 yds , Janarion Grant return for 17 yds to the Rutgr 17",,
400547996102854606,4005479968,400547996,8,5,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,10,2,"{'seconds': 53, 'minutes': 14}",2.0,2.0,19,81,3,16,17,False,Pass Reception,Keenan Reynolds pass complete to Jamir Tillman for 17 yds to the Navy 36 for a 1ST down,2.16565585963155,
400547996102854609,4005479968,400547996,8,8,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,10,2,"{'seconds': 53, 'minutes': 14}",2.0,2.0,38,62,3,8,0,False,Pass Incompletion,Keenan Reynolds pass incomplete to Brendan Dudeck,-0.4362142328462131,
400547996102854608,4005479968,400547996,8,7,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,10,2,"{'seconds': 53, 'minutes': 14}",2.0,2.0,38,62,2,8,0,False,Pass Incompletion,Keenan Reynolds pass incomplete to N/A,-0.8054878366661029,
400547996102854607,4005479968,400547996,8,6,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,10,2,"{'seconds': 53, 'minutes': 14}",2.0,2.0,36,64,1,10,2,False,Rush,Noah Copeland run for 2 yds to the Navy 38,-0.6439997383019928,
400547996102854603,4005479968,400547996,8,2,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,10,2,"{'seconds': 53, 'minutes': 14}",2.0,2.0,25,75,1,10,3,False,Rush,Noah Copeland run for 3 yds to the Navy 28,-0.2957674139440157,
400547996102854604,4005479968,400547996,8,3,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,10,2,"{'seconds': 53, 'minutes': 14}",2.0,2.0,28,72,2,7,6,False,Rush,Noah Copeland run for 6 yds to the Navy 34,0.272733551995068,
400547996102854605,4005479968,400547996,8,4,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,10,2,"{'seconds': 53, 'minutes': 14}",2.0,2.0,34,66,3,1,-15,False,Penalty,"Reynolds, K rush for 2 yards to the NAVY36 (Longa, Steve), PENALTY NAVY personal foul (Binns, E.K.) 15 yards to the NAVY19, NO PLAY.",,
400547996102854610,4005479968,400547996,8,9,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,10,2,"{'seconds': 53, 'minutes': 14}",2.0,2.0,38,62,4,8,0,False,Punt,Pablo Beltran punt for 62 yds for a touchback,,
400547996101965407,4005479966,400547996,6,4,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,7,1,"{'seconds': 45, 'minutes': 3}",2.0,2.0,40,60,3,3,-1,False,Fumble Recovery (Opponent),"Keenan Reynolds run for a loss of 1 yard to the Navy 37 Keenan Reynolds fumbled, forced by Darius Hamilton, recovered by Rutgr Quanzell Lambert",-1.0473465200613727,
400547996101965406,4005479966,400547996,6,3,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,7,1,"{'seconds': 45, 'minutes': 3}",2.0,2.0,36,64,2,7,4,False,Rush,Geoffrey Whiteside run for 4 yds to the Navy 40,-0.1351096893310757,
400547996101965405,4005479966,400547996,6,2,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,7,1,"{'seconds': 45, 'minutes': 3}",2.0,2.0,33,67,1,10,3,False,Rush,Chris Swain run for 3 yds to the Navy 36,-0.3884871214664028,
400547996101865203,4005479963,400547996,3,1,Navy,FBS Independents,7,Rutgers,Navy,Rutgers,Big Ten,0,1,"{'seconds': 47, 'minutes': 13}",3.0,3.0,35,65,1,0,0,False,Kickoff,Austin Grebe kickoff for 65 yds for a touchback,,
