id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
400876045104945901,40087604528,400876045,28,9,Colorado State,Mountain West,28,Idaho,Colorado State,Idaho,Sun Belt,61,4,"{'seconds': 40, 'minutes': 5}",3.0,2.0,89,11,2,5,8,False,Rush,Izzy Matthews run for 8 yds to the Idaho 3 for a 1ST down,1.029915613859718,
400876045104947001,40087604528,400876045,28,10,Colorado State,Mountain West,35,Idaho,Colorado State,Idaho,Sun Belt,61,4,"{'seconds': 29, 'minutes': 5}",3.0,2.0,97,3,1,3,3,True,Passing Touchdown,"Nick Stevens pass complete to Michael Gallup for 3 yds for a TD, (Wyatt Bryan KICK)",1.464451732731337,
400876045104937101,40087604528,400876045,28,6,Colorado State,Mountain West,28,Idaho,Colorado State,Idaho,Sun Belt,61,4,"{'seconds': 28, 'minutes': 6}",3.0,2.0,73,27,1,10,0,False,Pass Incompletion,Nick Stevens pass incomplete to Michael Gallup,-0.490975886965904,
400876045104935301,40087604528,400876045,28,4,Colorado State,Mountain West,28,Idaho,Colorado State,Idaho,Sun Belt,61,4,"{'seconds': 46, 'minutes': 6}",3.0,2.0,48,52,1,10,0,False,Pass Incompletion,Nick Stevens pass incomplete to Robert Ruiz,-1.1430602484821704,
400876045104945401,40087604528,400876045,28,8,Colorado State,Mountain West,28,Idaho,Colorado State,Idaho,Sun Belt,61,4,"{'seconds': 45, 'minutes': 5}",3.0,2.0,84,16,1,10,5,False,Pass Reception,Nick Stevens pass complete to Izzy Matthews for 5 yds to the Idaho 11,0.0743553747013194,
400876045104929901,40087604528,400876045,28,3,Colorado State,Mountain West,28,Idaho,Colorado State,Idaho,Sun Belt,61,4,"{'seconds': 0, 'minutes': 7}",3.0,2.0,45,55,2,1,3,False,Pass Reception,Nick Stevens pass complete to Olabisi Johnson for 3 yds to the ColSt 48 for a 1ST down,-0.2425455708702876,
400876045104926901,40087604528,400876045,28,2,Colorado State,Mountain West,28,Idaho,Colorado State,Idaho,Sun Belt,61,4,"{'seconds': 30, 'minutes': 7}",3.0,2.0,36,64,1,10,9,False,Rush,Izzy Matthews run for 9 yds to the ColSt 45,1.3816838899351875,
400876045104938401,40087604528,400876045,28,7,Colorado State,Mountain West,28,Idaho,Colorado State,Idaho,Sun Belt,61,4,"{'seconds': 15, 'minutes': 6}",3.0,2.0,73,27,2,10,11,False,Pass Reception,Nick Stevens pass complete to Michael Gallup for 11 yds to the Idaho 16 for a 1ST down,0.6635340070650156,
400876045104925903,40087604528,400876045,28,1,Idaho,Sun Belt,61,Colorado State,Colorado State,Idaho,Mountain West,28,4,"{'seconds': 40, 'minutes': 7}",2.0,3.0,65,65,1,10,3,False,Kickoff,"Austin Rehkow kickoff for 32 yds , Nolan Peralta return for 3 yds to the ColSt 36",,
400876045104936901,40087604528,400876045,28,5,Colorado State,Mountain West,28,Idaho,Colorado State,Idaho,Sun Belt,61,4,"{'seconds': 30, 'minutes': 6}",3.0,2.0,52,48,2,10,25,False,Pass Reception,"Nick Stevens pass complete to Robert Ruiz for 10 yds to the COLOST 42 for a 1ST down IDAHO Penalty, Roughing Holder (15 Yards) to the Idaho 27 for a 1ST down",2.096556072956293,
400876045104875801,40087604524,400876045,24,2,Colorado State,Mountain West,14,Idaho,Colorado State,Idaho,Sun Belt,48,4,"{'seconds': 41, 'minutes': 12}",3.0,2.0,14,86,1,10,13,False,Rush,Dalyn Dawkins run for 13 yds to the ColSt 27 for a 1ST down,0.7273513821069626,
400876045104877801,40087604524,400876045,24,3,Colorado State,Mountain West,21,Idaho,Colorado State,Idaho,Sun Belt,48,4,"{'seconds': 21, 'minutes': 12}",3.0,2.0,27,73,1,10,73,True,Passing Touchdown,"Nick Stevens pass complete to Olabisi Johnson for 73 yds for a TD, (Wyatt Bryan KICK)",5.932715434221937,
400876045104874303,40087604524,400876045,24,1,Idaho,Sun Belt,48,Colorado State,Colorado State,Idaho,Mountain West,14,4,"{'seconds': 56, 'minutes': 12}",2.0,3.0,65,65,1,10,4,False,Kickoff,"Austin Rehkow kickoff for 55 yds , Detrich Clark return for 4 yds to the ColSt 14",,
400876045103918601,40087604518,400876045,18,2,Idaho,Sun Belt,34,Colorado State,Colorado State,Idaho,Mountain West,7,3,"{'seconds': 13, 'minutes': 8}",2.0,3.0,74,74,1,5,74,True,Passing Touchdown,"Matt Linehan pass complete to Deon Watson for 74 yds for a TD, (Austin Rehkow KICK)",5.035681442039353,
400876045103917401,40087604518,400876045,18,1,Idaho,Sun Belt,27,Colorado State,Colorado State,Idaho,Mountain West,7,3,"{'seconds': 25, 'minutes': 8}",2.0,3.0,79,79,1,10,5,False,Penalty,"Saunders, Isaiah rush for loss of 2 yards to the IDAHO19, PENALTY COLOST offside (Thompson, Darnell) 5 yards to the IDAHO26, NO PLAY.",,
400876045102987901,40087604514,400876045,14,16,Idaho,Sun Belt,13,Colorado State,Colorado State,Idaho,Mountain West,7,2,"{'seconds': 20, 'minutes': 1}",2.0,3.0,15,15,2,1,2,False,Rush,Aaron Duckworth run for 2 yds to the ColSt 13 for a 1ST down,-0.49942956392401,
