id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,wallclock,ppa
401114337101934803,4011143376,401114337,6,1,Notre Dame,FBS Independents,14,Bowling Green,Notre Dame,Bowling Green,Mid-American,0,1,"{'seconds': 51, 'minutes': 6}",3.0,3.0,35,65,1,10,13,False,Kickoff,"Jonathan Doerer kickoff for 61 yds , Bryson Denley return for 13 yds to the BwGrn 17",2019-10-05T20:03:49.000Z,
401114337102924701,40111433711,401114337,11,2,Notre Dame,FBS Independents,21,Bowling Green,Notre Dame,Bowling Green,Mid-American,0,2,"{'seconds': 52, 'minutes': 7}",3.0,3.0,71,29,1,10,21,False,Pass Reception,Ian Book pass complete to Javon McKinley for 21 yds to the BwGrn 8 for a 1ST down,2019-10-05T20:45:41.000Z,0.46870161589842
401114337102919801,40111433711,401114337,11,1,Notre Dame,FBS Independents,21,Bowling Green,Notre Dame,Bowling Green,Mid-American,0,2,"{'seconds': 1, 'minutes': 8}",3.0,3.0,47,53,1,10,24,False,Pass Reception,Ian Book pass complete to Chris Finke for 24 yds to the BwGrn 29 for a 1ST down,2019-10-05T20:45:25.000Z,1.3069982489751957
401114337102935001,40111433711,401114337,11,4,Notre Dame,FBS Independents,28,Bowling Green,Notre Dame,Bowling Green,Mid-American,0,2,"{'seconds': 49, 'minutes': 6}",3.0,3.0,92,8,2,8,8,True,Passing Touchdown,"Ian Book pass complete to Chase Claypool for 8 yds for a TD, (Jonathan Doerer KICK)",2019-10-05T20:47:01.000Z,2.676770954733065
401114337102927402,40111433711,401114337,11,3,Notre Dame,FBS Independents,21,Bowling Green,Notre Dame,Bowling Green,Mid-American,0,2,"{'seconds': 25, 'minutes': 7}",3.0,3.0,92,8,1,8,0,False,Rush,Tony Jones Jr. run for no gain to the BwGrn 8,2019-10-05T20:46:11.000Z,-0.357171386033373
401114337104915701,40111433721,401114337,20,9,Notre Dame,FBS Independents,45,Bowling Green,Notre Dame,Bowling Green,Mid-American,0,4,"{'seconds': 42, 'minutes': 8}",3.0,3.0,86,14,3,1,2,False,Rush,C'Bo Flemister run for 2 yds to the BwGrn 12 for a 1ST down,2019-10-05T22:14:45.000Z,0.090238685521225
401114337104934301,40111433721,401114337,20,13,Notre Dame,FBS Independents,52,Bowling Green,Notre Dame,Bowling Green,Mid-American,0,4,"{'seconds': 56, 'minutes': 6}",2.0,3.0,99,1,1,1,1,True,Rushing Touchdown,"C'Bo Flemister run for 1 yd for a TD, (Harrison Leonard KICK)",2019-10-05T22:20:08.000Z,0.938021275120443
401114337104877901,40111433721,401114337,20,2,Notre Dame,FBS Independents,45,Bowling Green,Notre Dame,Bowling Green,Mid-American,0,4,"{'seconds': 20, 'minutes': 12}",3.0,3.0,26,74,2,5,0,False,Pass Incompletion,Phil Jurkovec pass incomplete,2019-10-05T22:09:50.000Z,-0.6340201501414757
401114337104887701,40111433721,401114337,20,4,Notre Dame,FBS Independents,45,Bowling Green,Notre Dame,Bowling Green,Mid-American,0,4,"{'seconds': 22, 'minutes': 11}",3.0,3.0,42,58,1,10,9,False,Pass Reception,Phil Jurkovec pass complete to Javon McKinley for 9 yds to the BwGrn 49,2019-10-05T22:12:37.000Z,1.3023640826924845
401114337104934001,40111433721,401114337,20,12,Notre Dame,FBS Independents,45,Bowling Green,Notre Dame,Bowling Green,Mid-American,0,4,"{'seconds': 59, 'minutes': 6}",2.0,3.0,99,1,1,0,0,False,Timeout,"Timeout NOTRE DAME, clock 06:59",2019-10-05T22:16:42.000Z,
