id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,ppa,wallclock
-18971,-2434,401302348,26,1,New Mexico State,FBS Independents,17,Tarleton State,New Mexico State,Tarleton State,FCS Independents,43,4,"{'seconds': 18, 'minutes': 0}",3,3,25,75,1,10,4,False,Rush,22-E.Anderson to NMS 29 for 4 yards (98-S.Walton).,-0.1142886249388964,
-18972,-2434,401302348,26,2,New Mexico State,FBS Independents,17,Tarleton State,New Mexico State,Tarleton State,FCS Independents,43,4,"{'seconds': 0, 'minutes': 0}",3,3,100,0,0,0,0,False,End of Game,End of 4th Quarter,,
-18967,-2433,401302348,25,3,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,17,4,"{'seconds': 51, 'minutes': 2}",3,3,62,62,1,10,4,False,Rush,9-D.Kelley to TSU 42 for 4 yards (21-J.Blowers).,-0.1660250563858484,
-18966,-2433,401302348,25,2,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,17,4,"{'seconds': 28, 'minutes': 3}",3,3,75,75,1,10,13,False,Rush,9-D.Kelley runs ob at TSU 38 for 13 yards.,1.124751479041831,
-18968,-2433,401302348,25,4,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,17,4,"{'seconds': 6, 'minutes': 2}",3,3,58,58,2,6,0,False,Rush,9-D.Kelley to TSU 42 for no gain (43-T.Milton).,-1.0482155226357586,
-18969,-2433,401302348,25,5,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,17,4,"{'seconds': 21, 'minutes': 1}",3,3,58,58,3,6,0,False,Rush,9-D.Kelley to TSU 42 for no gain (4-J.Ferguson).,-0.6401731194806475,
-18970,-2433,401302348,25,6,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,17,4,"{'seconds': 26, 'minutes': 0}",3,3,58,58,4,6,33,False,Punt,"83-J.Walrath punts 33 yards from TSU 42 to NMS 25, fair catch by 4-R.Downs.",,
-18965,-2433,401302348,25,1,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,17,4,"{'seconds': 28, 'minutes': 3}",3,3,35,35,0,0,65,False,Kickoff,84-E.Albertson kicks 65 yards from NMS 35 to TSU End Zone. touchback.,,
-18963,-2432,401302348,24,5,New Mexico State,FBS Independents,17,Tarleton State,New Mexico State,Tarleton State,FCS Independents,43,4,"{'seconds': 35, 'minutes': 3}",3,3,73,27,1,10,27,True,Passing Touchdown,10-J.Johnson complete to 4-R.Downs. 4-R.Downs runs 27 yards for a touchdown.,2.741280841391486,
-18961,-2432,401302348,24,3,New Mexico State,FBS Independents,10,Tarleton State,New Mexico State,Tarleton State,FCS Independents,43,4,"{'seconds': 45, 'minutes': 3}",3,3,46,54,1,10,27,False,Pass Reception,10-J.Johnson complete to 7-T.Warner. 7-T.Warner to TSU 27 for 27 yards (16-J.Kemp).,1.443616696293722,
-18960,-2432,401302348,24,2,New Mexico State,FBS Independents,10,Tarleton State,New Mexico State,Tarleton State,FCS Independents,43,4,"{'seconds': 55, 'minutes': 3}",3,3,43,57,2,2,3,False,Rush,22-E.Anderson to NMS 46 for 3 yards (8-K.Horton).,0.0206307566117248,
-18959,-2432,401302348,24,1,New Mexico State,FBS Independents,10,Tarleton State,New Mexico State,Tarleton State,FCS Independents,43,4,"{'seconds': 29, 'minutes': 4}",3,3,35,65,1,10,8,False,Pass Reception,10-J.Johnson complete to 7-T.Warner. 7-T.Warner to NMS 43 for 8 yards (8-K.Horton).,1.037188716394402,
-18964,-2432,401302348,24,6,New Mexico State,FBS Independents,17,Tarleton State,New Mexico State,Tarleton State,FCS Independents,43,4,"{'seconds': 28, 'minutes': 3}",3,3,93,7,0,0,1,True,Uncategorized,84-E.Albertson extra point is good.,,
-18962,-2432,401302348,24,4,New Mexico State,FBS Independents,10,Tarleton State,New Mexico State,Tarleton State,FCS Independents,43,4,"{'seconds': 35, 'minutes': 3}",3,3,73,27,1,10,0,False,Timeout,Timeout #1 by TSU at 03:35.,,
-18957,-2431,401302348,23,12,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 34, 'minutes': 4}",3,3,35,35,4,9,0,False,Rush,36-B.Franks to NMS 35 for no gain (80-T.Brohard).,-1.5105190174105836,
-18956,-2431,401302348,23,11,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 25, 'minutes': 5}",3,3,34,34,3,8,-1,False,Rush,36-B.Franks to NMS 35 for -1 yard (80-T.Brohard).,-1.240192782526428,
-18955,-2431,401302348,23,10,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 10, 'minutes': 6}",3,3,33,33,2,7,-1,False,Rush,36-B.Franks to NMS 34 for -1 yard (80-T.Brohard).,-1.0123024655308444,
-18954,-2431,401302348,23,9,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 48, 'minutes': 6}",3,3,35,35,1,10,2,False,Rush,36-B.Franks to NMS 33 for 2 yards (99-D.Freeman).,-0.3683205836524783,
-18953,-2431,401302348,23,8,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 24, 'minutes': 7}",3,3,44,44,2,7,9,False,Pass Reception,9-D.Kelley to NMS 35 for 9 yards (12-C.Mills).,0.9941917732470815,
-18951,-2431,401302348,23,6,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 35, 'minutes': 8}",3,3,47,47,1,10,3,False,Rush,9-D.Kelley to NMS 44 for 3 yards (10-L.Williams).,-0.3535783157576075,
-18950,-2431,401302348,23,5,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 14, 'minutes': 9}",3,3,60,60,2,4,13,False,Rush,9-D.Kelley runs ob at NMS 47 for 13 yards.,1.328645027232044,
-18948,-2431,401302348,23,3,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 39, 'minutes': 9}",3,3,66,66,1,10,6,False,Rush,9-D.Kelley to TSU 40 for 6 yards (3-D.Richardson).,0.3949221212311402,
-18947,-2431,401302348,23,2,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 16, 'minutes': 10}",3,3,70,70,2,2,4,False,Rush,9-D.Kelley to TSU 34 for 4 yards (10-L.Williams).,0.0904983588072774,
-18946,-2431,401302348,23,1,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 50, 'minutes': 10}",3,3,78,78,1,10,8,False,Rush,9-D.Kelley to TSU 30 for 8 yards (12-C.Mills).,0.8447170538042306,
-18958,-2431,401302348,23,13,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 29, 'minutes': 4}",3,3,35,35,1,10,0,False,Timeout,TV timeout at 04:29.,,
-18952,-2431,401302348,23,7,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 53, 'minutes': 7}",3,3,44,44,2,7,3,False,Uncategorized,"9-D.Kelley to NMS 41 for 3 yards (43-T.Milton). Penalty on NMS 22-X.Hinkle, Personal Foul, offsetting. Penalty on TSU 2-G.Douglas, Personal Foul, offsetting. No Play.",,
-18949,-2431,401302348,23,4,Tarleton State,FCS Independents,43,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 23, 'minutes': 9}",3,3,60,60,2,4,0,False,Timeout,TV timeout at 09:23.,,
-18944,-2430,401302348,22,8,Tarleton State,FCS Independents,40,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 21, 'minutes': 14}",3,3,20,20,3,5,3,False,Rush,22-R.Skinner to NMS 17 for 3 yards (25-L.Lavea).,-0.189460514822775,
-18943,-2430,401302348,22,7,Tarleton State,FCS Independents,40,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,4,"{'seconds': 0, 'minutes': 15}",3,3,22,22,2,7,2,False,Rush,22-R.Skinner to NMS 20 for 2 yards (25-L.Lavea).,-0.2646065426590986,
-18942,-2430,401302348,22,6,Tarleton State,FCS Independents,40,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,3,"{'seconds': 0, 'minutes': 0}",3,3,22,22,2,7,0,False,End Period,End of Quarter,-0.4998094827553564,
-18941,-2430,401302348,22,5,Tarleton State,FCS Independents,40,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,3,"{'seconds': 32, 'minutes': 0}",3,3,25,25,1,10,3,False,Rush,22-R.Skinner to NMS 22 for 3 yards (43-T.Milton).,-0.1408898471373875,
-18940,-2430,401302348,22,4,Tarleton State,FCS Independents,40,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,3,"{'seconds': 59, 'minutes': 0}",3,3,43,43,1,10,18,False,Rush,22-R.Skinner to NMS 25 for 18 yards (1-D.Kirklin).,0.6522857256647967,
-18939,-2430,401302348,22,3,Tarleton State,FCS Independents,40,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,3,"{'seconds': 22, 'minutes': 1}",3,3,77,77,2,13,34,False,Pass Reception,10-C.Burston complete to 2-G.Douglas. 2-G.Douglas to NMS 43 for 34 yards (22-X.Hinkle).,3.656206083673405,
-18938,-2430,401302348,22,2,Tarleton State,FCS Independents,40,New Mexico State,New Mexico State,Tarleton State,FBS Independents,10,3,"{'seconds': 56, 'minutes': 1}",3,3,74,74,1,10,-3,False,Rush,22-R.Skinner to TSU 23 for -3 yards (6-M.Bowe).,-1.0017998591432935,
