id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,wallclock,offenseTimeouts,defenseTimeouts,ppa
401404145106290210,40140414529,401404145,29,4,Army,FBS Independents,20,Navy,Army,Navy,American Athletic,17,6,"{'seconds': 0, 'minutes': 0}",78,22,4,7,39,True,Field Goal Good,Quinn Maretzki 39 yd FG GOOD,2022-12-10T23:33:10.000Z,,,
401404145106290209,40140414529,401404145,29,3,Army,FBS Independents,17,Navy,Army,Navy,American Athletic,17,6,"{'seconds': 0, 'minutes': 0}",77,23,3,8,1,False,Rush,Cade Ballard run for 1 yd to the Navy 22,2022-12-10T23:33:10.000Z,,,-0.5840730579276165
401404145106290208,40140414529,401404145,29,2,Army,FBS Independents,17,Navy,Army,Navy,American Athletic,17,6,"{'seconds': 0, 'minutes': 0}",75,25,2,10,2,False,Rush,Tyson Riley run for 2 yds to the Navy 23,2022-12-10T23:33:10.000Z,,,-0.3177649145916597
401404145106290207,40140414529,401404145,29,1,Army,FBS Independents,17,Navy,Army,Navy,American Athletic,17,6,"{'seconds': 0, 'minutes': 0}",75,25,1,10,0,False,Rush,Markel Johnson run for no gain to the Navy 25,2022-12-10T23:33:10.000Z,,,-0.4522778946200265
401404145106290211,40140414529,401404145,29,5,Army,FBS Independents,20,Navy,Army,Navy,American Athletic,17,6,"{'seconds': 0, 'minutes': 0}",78,22,0,7,0,False,End Period,End of Quarter,2022-12-10T23:33:10.000Z,,,
401404145105260190,40140414526,401404145,26,1,Army,FBS Independents,17,Navy,Army,Navy,American Athletic,10,5,"{'seconds': 0, 'minutes': 0}",75,25,1,10,25,True,Rushing Touchdown,Markel Johnson run for 25 yds for a TD (Quinn Maretzki KICK),2022-12-10T23:30:02.000Z,,,2.7000843622660575
401404145104999801,40140414525,401404145,25,1,Army,FBS Independents,10,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 1, 'minutes': 0}",7,93,1,10,-2,False,Rush,TEAM run for a loss of 2 yards to the Army 5,2022-12-10T23:24:55.000Z,1.0,0.0,-0.379681499755951
401404145104999802,40140414525,401404145,25,2,Army,FBS Independents,10,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 0, 'minutes': 0}",7,93,0,10,0,False,End of Regulation,End of 4th Quarter,2022-12-10T23:25:08.000Z,1.0,0.0,
401404145104984602,40140414524,401404145,24,1,Army,FBS Independents,10,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 53, 'minutes': 1}",35,65,4,2,0,False,Kickoff,Cole Talley kickoff for 65 yds for a touchback,2022-12-10T23:16:49.000Z,2.0,2.0,
401404145104976901,40140414523,401404145,23,7,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 30, 'minutes': 2}",79,21,3,3,1,False,Rush,Cade Ballard run for 1 yd to the Navy 20,2022-12-10T23:13:53.000Z,2.0,2.0,-0.4689504821094205
401404145104968601,40140414523,401404145,23,6,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 13, 'minutes': 3}",76,24,2,6,3,False,Rush,Ay'Jaun Marshall run for 3 yds to the Navy 21,2022-12-10T23:13:13.000Z,2.0,2.0,-0.170581997012871
401404145104964301,40140414523,401404145,23,5,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 56, 'minutes': 3}",72,28,1,10,4,False,Rush,Cade Ballard run for 4 yds to the Navy 24,2022-12-10T23:12:29.000Z,2.0,2.0,-0.043244644569821
401404145104956901,40140414523,401404145,23,3,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 30, 'minutes': 4}",55,45,3,1,2,False,Rush,Markel Johnson run for 2 yds to the Navy 43 for a 1ST down,2022-12-10T23:11:02.000Z,2.0,2.0,0.8820129079263612
401404145104954601,40140414523,401404145,23,2,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 53, 'minutes': 4}",51,49,2,5,4,False,Rush,Cade Ballard run for 4 yds to the Navy 45,2022-12-10T23:10:42.000Z,2.0,2.0,-0.156384493230643
401404145104948701,40140414523,401404145,23,1,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 12, 'minutes': 5}",46,54,1,10,5,False,Rush,Markel Johnson run for 5 yds to the Navy 49,2022-12-10T23:10:14.000Z,2.0,2.0,0.1068990350586356
401404145104984601,40140414523,401404145,23,8,Army,FBS Independents,10,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 53, 'minutes': 1}",80,20,4,2,37,True,Field Goal Good,Quinn Maretzki 37 yd FG GOOD,2022-12-10T23:14:38.000Z,2.0,2.0,
401404145104959401,40140414523,401404145,23,4,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 5, 'minutes': 4}",57,43,1,10,15,False,Penalty,"Ballard, Cade pass incomplete to Marshall, Ay'Jaun, PENALTY NAVY pass interference 15 yards to the NAVY28, NO PLAY, 1ST DOWN ARMY.",2022-12-10T23:12:02.000Z,2.0,2.0,
401404145104925801,40140414521,401404145,21,8,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 41, 'minutes': 7}",53,47,3,23,0,False,Pass Incompletion,Cade Ballard pass incomplete to Braheam Murphy,2022-12-10T23:01:23.000Z,2.0,3.0,-0.3364306561471677
401404145104905901,40140414521,401404145,21,2,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 40, 'minutes': 9}",52,48,1,10,-1,False,Rush,Tyhier Tyler run for a loss of 1 yard to the Navy 49,2022-12-10T22:53:58.000Z,3.0,3.0,-1.3092528969479904
401404145104904301,40140414521,401404145,21,1,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 56, 'minutes': 9}",26,74,1,10,26,False,Pass Reception,Cade Ballard pass complete to Braheam Murphy for 26 yds to the Navy 48 for a 1ST down,2022-12-10T22:53:11.000Z,3.0,3.0,2.320542476181009
401404145104917201,40140414521,401404145,21,6,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 27, 'minutes': 8}",51,49,1,25,0,False,Pass Incompletion,Cade Ballard pass incomplete to Isaiah Alston,2022-12-10T23:00:45.000Z,2.0,3.0,-0.8124757705429443
401404145104917701,40140414521,401404145,21,7,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 22, 'minutes': 8}",51,49,2,25,2,False,Pass Reception,Cade Ballard pass complete to Braheam Murphy for 2 yds to the Navy 47,2022-12-10T23:01:06.000Z,2.0,3.0,-0.32234963415287865
401404145104926801,40140414521,401404145,21,9,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 31, 'minutes': 7}",53,47,4,23,0,False,Punt,"Billy Boehlke punt for 42 yds, punt out-of-bounds at the Navy 5",2022-12-10T23:02:04.000Z,2.0,3.0,
401404145104914701,40140414521,401404145,21,5,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 52, 'minutes': 8}",66,34,1,10,-15,False,Penalty,"Murphy, Braheam rush for no gain to the NAVY34, PENALTY ARMY illegal block 15 yards to the NAVY49, NO PLAY.",2022-12-10T23:00:24.000Z,2.0,3.0,
401404145104914201,40140414521,401404145,21,4,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 57, 'minutes': 8}",51,49,2,11,15,False,Penalty,"Ballard, Cade pass incomplete to Alston, Isaiah, PENALTY NAVY pass interference 15 yards to the NAVY34, NO PLAY, 1ST DOWN ARMY.",2022-12-10T22:57:58.000Z,2.0,3.0,
401404145104909501,40140414521,401404145,21,3,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 4, 'minutes': 9}",51,49,2,11,0,False,Timeout,"Timeout ARMY, clock 09:04",2022-12-10T22:54:23.000Z,2.0,3.0,
401404145104877401,40140414519,401404145,19,8,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 25, 'minutes': 12}",20,80,3,9,0,False,Pass Incompletion,Cade Ballard pass incomplete to Braheam Murphy,2022-12-10T22:43:25.000Z,3.0,3.0,-0.1306925763398139
401404145104869301,40140414519,401404145,19,7,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 6, 'minutes': 13}",9,91,2,20,11,False,Rush,Ay'Jaun Marshall run for 11 yds to the Army 20,2022-12-10T22:42:05.000Z,3.0,3.0,0.15822026645781584
401404145104864901,40140414519,401404145,19,6,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 50, 'minutes': 13}",19,81,1,10,-10,False,Sack,Tyhier Tyler sacked by Colin Ramos and Mbiti Williams Jr. for a loss of 10 yards to the Army 9,2022-12-10T22:41:23.000Z,3.0,3.0,-0.8991817584735129
401404145104858401,40140414519,401404145,19,5,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 15, 'minutes': 14}",15,85,4,1,4,False,Rush,Tyson Riley run for 4 yds to the Army 19 for a 1ST down,2022-12-10T22:40:41.000Z,3.0,3.0,0.7419750952625392
401404145104854401,40140414519,401404145,19,4,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 55, 'minutes': 14}",14,86,3,2,1,False,Rush,Tyhier Tyler run for 1 yd to the Army 15,2022-12-10T22:40:04.000Z,3.0,3.0,-0.2142749297681954
401404145103997901,40140414519,401404145,19,2,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,3,"{'seconds': 20, 'minutes': 0}",13,87,2,3,1,False,Rush,Tyhier Tyler run for 1 yd to the Army 14,2022-12-10T22:35:08.000Z,3.0,3.0,-0.4072584707773892
401404145103989901,40140414519,401404145,19,1,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,3,"{'seconds': 0, 'minutes': 1}",6,94,1,10,7,False,Rush,Braheam Murphy run for 7 yds to the Army 13,2022-12-10T22:34:44.000Z,3.0,3.0,0.3376322450612754
401404145104878401,40140414519,401404145,19,9,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,4,"{'seconds': 15, 'minutes': 12}",20,80,4,9,12,False,Punt,"Billy Boehlke punt for 45 yds , Amin Hassan returns for 12 yds to the Navy 47",2022-12-10T22:43:30.000Z,3.0,3.0,
401404145103997902,40140414519,401404145,19,3,Army,FBS Independents,7,Navy,Army,Navy,American Athletic,10,3,"{'seconds': 0, 'minutes': 0}",13,87,0,3,0,False,End Period,End of 3rd Quarter,2022-12-10T22:35:45.000Z,3.0,3.0,
