id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,wallclock,ppa
401551798103967103,40155179814,401551798,13,1,Notre Dame,FBS Independents,24,Oregon State,Notre Dame,Oregon State,Pac-12,0,3,"{'seconds': 28, 'minutes': 3}",2.0,2.0,35,65,3,7,0,False,Kickoff,Spencer Shrader kickoff for 65 yds for a touchback,2023-12-29T21:24:30.000Z,
401551798104879701,40155179815,401551798,14,7,Notre Dame,FBS Independents,24,Oregon State,Notre Dame,Oregon State,Pac-12,0,4,"{'seconds': 2, 'minutes': 12}",2.0,2.0,94,6,2,6,4,False,Rush,Gi'Bran Payne run for 4 yds to the ORST 2,2023-12-29T21:40:40.000Z,-0.016163291280923
401551798103996902,40155179815,401551798,14,2,Notre Dame,FBS Independents,24,Oregon State,Notre Dame,Oregon State,Pac-12,0,3,"{'seconds': 0, 'minutes': 0}",2.0,2.0,58,42,0,10,0,False,End Period,End of 3rd Quarter,2023-12-29T21:30:41.000Z,
401551798103996901,40155179815,401551798,14,1,Notre Dame,FBS Independents,24,Oregon State,Notre Dame,Oregon State,Pac-12,0,3,"{'seconds': 30, 'minutes': 0}",2.0,2.0,58,42,1,10,14,False,Rush,Steve Angeli run for 14 yds to the ORST 28 for a 1ST down,2023-12-29T21:30:08.000Z,0.530920997433693
401551798104855201,40155179815,401551798,14,3,Notre Dame,FBS Independents,24,Oregon State,Notre Dame,Oregon State,Pac-12,0,4,"{'seconds': 47, 'minutes': 14}",2.0,2.0,72,28,1,10,3,False,Rush,Jeremiyah Love run for 3 yds to the ORST 25,2023-12-29T21:35:24.000Z,-0.158911195567058
401551798104858201,40155179815,401551798,14,4,Notre Dame,FBS Independents,24,Oregon State,Notre Dame,Oregon State,Pac-12,0,4,"{'seconds': 17, 'minutes': 14}",2.0,2.0,75,25,2,7,-3,False,Rush,Steve Angeli run for a loss of 3 yards to the ORST 28,2023-12-29T21:37:32.000Z,-1.0538157124532392
401551798104866901,40155179815,401551798,14,5,Notre Dame,FBS Independents,24,Oregon State,Notre Dame,Oregon State,Pac-12,0,4,"{'seconds': 30, 'minutes': 13}",2.0,2.0,72,28,3,10,24,False,Pass Reception,"Steve Angeli pass complete to Matt Salerno for 20 yds to the ORST 8 for a 1ST down Oregon State Penalty, Personal Foul (4 Yards) to the ORST 4 for a 1ST down",2023-12-29T21:39:54.000Z,2.2885508634447533
401551798104874201,40155179815,401551798,14,6,Notre Dame,FBS Independents,24,Oregon State,Notre Dame,Oregon State,Pac-12,0,4,"{'seconds': 57, 'minutes': 12}",2.0,2.0,96,4,1,4,-2,False,Rush,Jeremiyah Love run for a loss of 2 yards to the ORST 6,2023-12-29T21:40:09.000Z,-0.840476474067963
401551798104885701,40155179815,401551798,14,8,Notre Dame,FBS Independents,24,Oregon State,Notre Dame,Oregon State,Pac-12,0,4,"{'seconds': 42, 'minutes': 11}",2.0,2.0,98,2,3,2,0,False,Pass Incompletion,Steve Angeli pass incomplete to Jordan Faison,2023-12-29T21:41:02.000Z,-0.306522417191541
401551798104887501,40155179815,401551798,14,9,Notre Dame,FBS Independents,24,Oregon State,Notre Dame,Oregon State,Pac-12,0,4,"{'seconds': 24, 'minutes': 11}",2.0,2.0,98,2,4,2,1,False,Rush,Gi'Bran Payne run for 1 yd to the ORST 1,2023-12-29T21:42:07.000Z,-4.148647298745598
401551798104896201,40155179817,401551798,16,2,Notre Dame,FBS Independents,26,Oregon State,Notre Dame,Oregon State,Pac-12,0,4,"{'seconds': 37, 'minutes': 10}",2.0,2.0,28,72,1,10,54,False,Rush,Jadarian Price run for 54 yds to the ORST 18 for a 1ST down,2023-12-29T21:47:55.000Z,3.2638400031954613
401551798104904701,40155179817,401551798,16,3,Notre Dame,FBS Independents,26,Oregon State,Notre Dame,Oregon State,Pac-12,0,4,"{'seconds': 52, 'minutes': 9}",2.0,2.0,82,18,1,10,5,False,Rush,Jeremiyah Love run for 5 yds to the ORST 13,2023-12-29T21:48:43.000Z,0.07429696775613
401551798104909101,40155179817,401551798,16,4,Notre Dame,FBS Independents,33,Oregon State,Notre Dame,Oregon State,Pac-12,0,4,"{'seconds': 8, 'minutes': 9}",2.0,2.0,87,13,2,5,13,True,Passing Touchdown,Steve Angeli pass complete to Jeremiyah Love for 13 yds for a TD (Spencer Shrader KICK),2023-12-29T21:49:01.000Z,2.517495741314461
401551798104909801,40155179818,401551798,17,1,Notre Dame,FBS Independents,33,Oregon State,Notre Dame,Oregon State,Pac-12,0,4,"{'seconds': 1, 'minutes': 9}",2.0,2.0,35,65,2,5,29,False,Kickoff Return (Offense),"Spencer Shrader kickoff for 65 yds , Riley Sharp return for 29 yds to the ORST 29",2023-12-29T21:53:42.000Z,
401551798104944501,40155179819,401551798,18,2,Notre Dame,FBS Independents,33,Oregon State,Notre Dame,Oregon State,Pac-12,8,4,"{'seconds': 54, 'minutes': 5}",2.0,2.0,60,40,1,10,19,False,Rush,Devyn Ford run for 19 yds to the ORST 21 for a 1ST down,2023-12-29T22:06:33.000Z,0.556752330141848
401551798104949501,40155179819,401551798,18,3,Notre Dame,FBS Independents,33,Oregon State,Notre Dame,Oregon State,Pac-12,8,4,"{'seconds': 4, 'minutes': 5}",2.0,2.0,79,21,1,10,4,False,Rush,Devyn Ford run for 4 yds to the ORST 17,2023-12-29T22:06:42.000Z,-0.0277001413248325
401551798104957501,40155179819,401551798,18,4,Notre Dame,FBS Independents,33,Oregon State,Notre Dame,Oregon State,Pac-12,8,4,"{'seconds': 24, 'minutes': 4}",2.0,2.0,83,17,2,6,3,False,Rush,Devyn Ford run for 3 yds to the ORST 14,2023-12-29T22:06:53.000Z,-0.1292020079463555
401551798104965001,40155179819,401551798,18,5,Notre Dame,FBS Independents,33,Oregon State,Notre Dame,Oregon State,Pac-12,8,4,"{'seconds': 49, 'minutes': 3}",2.0,2.0,86,14,3,3,4,False,Rush,Devyn Ford run for 4 yds to the ORST 10 for a 1ST down,2023-12-29T22:07:18.000Z,0.275372120817239
401551798104969801,40155179819,401551798,18,6,Notre Dame,FBS Independents,33,Oregon State,Notre Dame,Oregon State,Pac-12,8,4,"{'seconds': 1, 'minutes': 3}",2.0,2.0,90,10,1,10,4,False,Rush,Skip Velotta run for 4 yds to the ORST 6,2023-12-29T22:07:45.000Z,-0.014840150532496
401551798104975401,40155179819,401551798,18,7,Notre Dame,FBS Independents,40,Oregon State,Notre Dame,Oregon State,Pac-12,8,4,"{'seconds': 45, 'minutes': 2}",2.0,2.0,94,6,2,6,6,True,Rushing Touchdown,Chase Ketterer run for 6 yds for a TD (Spencer Shrader KICK),2023-12-29T22:08:11.000Z,2.528666992781938
401551798104975403,40155179820,401551798,19,1,Notre Dame,FBS Independents,40,Oregon State,Notre Dame,Oregon State,Pac-12,8,4,"{'seconds': 45, 'minutes': 2}",2.0,2.0,35,65,2,6,0,False,Kickoff,Spencer Shrader kickoff for 65 yds for a touchback,2023-12-29T22:08:11.000Z,
401551798101849902,4015517981,401551798,1,1,Notre Dame,FBS Independents,0,Oregon State,Notre Dame,Oregon State,Pac-12,0,1,"{'seconds': 0, 'minutes': 15}",3.0,3.0,35,65,1,10,0,False,Kickoff,Spencer Shrader kickoff for 65 yds for a touchback,2023-12-29T19:15:14.000Z,
401551798101876701,4015517982,401551798,2,1,Notre Dame,FBS Independents,0,Oregon State,Notre Dame,Oregon State,Pac-12,0,1,"{'seconds': 32, 'minutes': 12}",3.0,3.0,4,96,1,10,6,False,Rush,Jeremiyah Love run for 6 yds to the ND 10,2023-12-29T19:15:14.000Z,0.17838975297292592
401551798101878701,4015517982,401551798,2,2,Notre Dame,FBS Independents,0,Oregon State,Notre Dame,Oregon State,Pac-12,0,1,"{'seconds': 12, 'minutes': 12}",3.0,3.0,10,90,2,4,3,False,Rush,Jeremiyah Love run for 3 yds to the ND 13,2023-12-29T19:19:22.000Z,-0.14960944858101044
401551798101887101,4015517982,401551798,2,3,Notre Dame,FBS Independents,0,Oregon State,Notre Dame,Oregon State,Pac-12,0,1,"{'seconds': 28, 'minutes': 11}",3.0,3.0,13,87,3,1,2,False,Rush,Gi'Bran Payne run for 2 yds to the ND 15 for a 1ST down,2023-12-29T19:19:48.000Z,0.2888652247836987
401551798101894701,4015517982,401551798,2,4,Notre Dame,FBS Independents,0,Oregon State,Notre Dame,Oregon State,Pac-12,0,1,"{'seconds': 52, 'minutes': 10}",3.0,3.0,15,85,1,10,55,False,Pass Reception,Steve Angeli pass complete to Jordan Faison for 55 yds to the ORST 30 for a 1ST down,2023-12-29T19:20:46.000Z,3.806718416952439
401551798101897201,4015517982,401551798,2,5,Notre Dame,FBS Independents,0,Oregon State,Notre Dame,Oregon State,Pac-12,0,1,"{'seconds': 27, 'minutes': 10}",3.0,3.0,70,30,1,10,9,False,Rush,Gi'Bran Payne run for 9 yds to the ORST 21,2023-12-29T19:21:08.000Z,0.687915414120443
401551798101905701,4015517982,401551798,2,6,Notre Dame,FBS Independents,0,Oregon State,Notre Dame,Oregon State,Pac-12,0,1,"{'seconds': 42, 'minutes': 9}",3.0,3.0,79,21,2,1,5,False,Rush,Jeremiyah Love run for 5 yds to the ORST 16 for a 1ST down,2023-12-29T19:15:14.000Z,-0.4423950024900464
401551798101914301,4015517982,401551798,2,7,Notre Dame,FBS Independents,0,Oregon State,Notre Dame,Oregon State,Pac-12,0,1,"{'seconds': 56, 'minutes': 8}",3.0,3.0,84,16,1,10,9,False,Rush,Jeremiyah Love run for 9 yds to the ORST 7,2023-12-29T19:22:39.000Z,0.6158412752510894
401551798101919501,4015517982,401551798,2,8,Notre Dame,FBS Independents,0,Oregon State,Notre Dame,Oregon State,Pac-12,0,1,"{'seconds': 4, 'minutes': 8}",3.0,3.0,93,7,2,1,2,False,Rush,Jeremiyah Love run for 2 yds to the ORST 5 for a 1ST down,2023-12-29T19:23:32.000Z,0.069100605482411
401551798101927401,4015517982,401551798,2,9,Notre Dame,FBS Independents,0,Oregon State,Notre Dame,Oregon State,Pac-12,0,1,"{'seconds': 25, 'minutes': 7}",3.0,3.0,95,5,1,5,-3,False,Rush,Jeremiyah Love run for a loss of 3 yards to the ORST 8,2023-12-29T19:15:14.000Z,-0.792990114174191
