season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2004,Air Force,Mountain West,261,228,7,5,12,16,8,8,8,8,11,0,0,102,21,8,9,1721,2506,189,298,113,168,9,6,12,15,0,2,0,10,12786,11114,0,2,92,292,23,27,648,445,31,24,3051,2200,78,53,166,131,4680,4643,16,17
2004,Akron,Mid-American,205,243,9,10,19,19,8,14,14,8,11,2,0,135,71,8,11,2903,2792,352,373,223,242,11,8,18,17,0,0,0,0,11661,12242,1,4,275,414,28,45,379,413,13,27,1070,2078,50,69,152,159,3705,4685,16,25
2004,Alabama,SEC,194,166,4,6,12,13,12,16,16,12,12,1,0,113,157,11,12,1823,1504,261,242,146,105,12,11,11,8,0,2,0,14,14005,12321,1,0,270,142,42,32,502,484,21,10,2221,1589,48,44,161,148,3920,2946,23,28
2004,Arizona,Pac-10,172,220,5,8,12,18,14,21,21,14,11,0,0,113,67,11,8,2045,2906,312,374,164,217,8,11,4,17,0,7,0,50,12151,11923,0,0,191,393,29,47,386,414,9,17,1302,1363,44,57,154,141,3178,4173,25,29
2004,Arizona State,Pac-10,264,221,10,3,17,14,17,12,12,17,12,1,1,269,131,10,17,4058,3086,502,438,289,235,15,9,30,15,0,0,0,0,13432,12868,0,1,418,448,48,37,435,417,6,15,1417,1475,79,55,201,183,5225,4307,27,29
2004,Arkansas,SEC,216,209,7,2,20,9,7,12,12,7,11,1,0,99,182,13,6,2429,2508,286,287,162,172,6,12,3,18,0,0,0,0,11861,12294,1,0,126,79,29,35,467,435,16,15,2061,1983,69,53,159,146,4377,4369,20,18
2004,Arkansas State,Sun Belt,199,238,6,4,13,9,12,15,15,12,11,0,2,133,216,17,8,2431,2578,342,302,177,182,8,16,14,23,0,0,0,0,11871,12192,1,0,298,124,33,30,400,474,8,18,1670,2163,53,64,153,156,3940,4646,29,23
2004,Army,Conference USA,199,294,6,7,19,16,8,12,12,8,11,0,1,34,158,9,7,2369,2806,351,319,182,211,7,9,12,21,0,0,0,0,11118,13077,0,0,88,265,25,42,383,540,21,28,1935,2743,51,66,153,147,4198,5391,17,19
2004,Auburn,SEC,272,187,6,9,15,21,14,13,13,14,13,1,0,107,118,9,17,3224,2457,308,367,211,200,16,9,25,13,0,5,0,50,15187,13305,0,0,428,147,47,29,553,413,27,4,2383,1354,68,45,157,161,5469,3609,23,30
2004,BYU,Mountain West,214,212,8,6,14,17,17,7,7,17,11,1,1,252,130,14,13,3321,2753,424,364,234,198,13,14,18,14,0,0,0,0,11753,12374,0,0,140,230,38,29,382,441,12,19,1149,1629,57,64,176,177,4224,4151,31,20
2004,Ball State,Mid-American,204,247,6,6,15,16,3,12,12,3,11,0,0,37,25,4,2,2602,2976,354,329,203,217,1,3,14,29,0,0,0,0,12143,11864,0,1,53,393,20,39,414,449,11,20,1257,2171,63,66,180,148,3556,5038,7,14
2004,Baylor,Big 12,193,235,4,10,15,14,18,5,5,18,11,0,1,51,153,11,5,2567,2473,395,288,235,170,4,7,8,28,0,8,0,52,11532,12597,1,1,479,205,44,22,366,490,8,23,1088,2264,61,69,173,149,3430,4632,29,10
2004,Boise State,Western Athletic,313,209,17,5,25,18,10,8,8,10,12,4,2,455,171,13,23,3362,3226,355,432,221,230,23,13,18,21,0,0,0,0,14216,11881,2,0,710,212,48,28,596,373,49,17,2758,1247,66,68,167,177,5912,4294,23,31
2004,Boston College,Big East,239,213,12,6,23,14,10,5,5,10,12,1,1,136,146,13,17,3085,2559,426,396,256,231,17,10,20,10,0,4,0,48,13319,13084,3,0,392,143,44,38,449,441,12,12,1681,1546,70,64,196,176,4625,3994,23,22
2004,Bowling Green,Mid-American,313,268,7,14,11,27,6,12,12,6,12,2,0,218,40,4,14,4154,3246,472,467,313,259,13,3,41,15,0,7,0,60,13104,12998,1,1,366,138,29,18,432,437,22,19,2019,1589,79,69,162,172,6076,4703,10,26
2004,Buffalo,Mid-American,111,186,3,11,9,22,4,8,8,4,11,0,1,77,77,9,9,1134,2237,191,287,84,176,9,9,4,13,0,0,0,0,8810,10868,0,2,35,415,21,41,349,386,14,20,1266,1652,31,50,132,137,2334,3718,13,17
2004,California,Pac-10,291,200,4,6,9,18,12,12,12,12,12,1,0,155,112,8,10,2944,3108,331,425,219,221,10,8,27,17,0,0,0,0,14630,12008,0,0,290,194,47,23,509,368,30,7,3081,990,65,64,147,182,5909,3851,20,22
2004,Central Michigan,Mid-American,222,244,8,9,23,19,9,8,8,9,11,0,1,62,199,10,5,2674,2935,375,361,209,218,4,9,16,18,0,9,0,83,11962,12204,1,0,169,195,18,29,448,475,12,23,1869,1876,61,61,177,154,4351,4749,19,13
2004,Cincinnati,Conference USA,251,190,13,4,28,12,12,12,12,12,12,0,2,51,136,12,10,2750,2509,376,332,218,165,10,12,26,19,0,0,0,0,14919,11429,0,2,182,338,26,31,525,401,17,15,2201,1766,70,50,184,159,4867,4096,24,22
2004,Clemson,ACC,169,192,4,5,9,13,7,5,5,7,11,1,1,135,159,15,10,2109,2146,328,327,166,163,10,15,7,9,0,0,0,0,10333,11534,1,0,365,279,33,39,346,428,14,15,1076,1471,49,62,152,169,3028,3366,22,15
2004,Colorado,Big 12,209,258,4,7,12,16,10,11,11,10,13,3,2,205,190,17,15,2686,3370,393,418,233,240,15,17,11,17,0,0,0,0,12814,13565,2,0,304,251,47,51,410,499,12,18,1463,1938,57,87,173,204,4033,5109,27,26
2004,Colorado State,Mountain West,220,248,4,7,12,16,13,7,7,13,11,2,1,137,226,17,8,3066,2203,350,328,209,186,8,16,15,14,0,9,0,65,12012,11924,0,0,132,300,30,36,392,472,13,23,1228,2439,62,58,158,143,4102,4572,30,15
2004,Duke,ACC,144,215,11,5,16,9,17,11,11,17,11,2,2,229,129,10,13,1918,2142,283,250,160,150,13,9,2,13,0,7,0,42,10702,10993,0,0,33,216,11,35,347,461,5,20,1034,2350,38,54,139,122,2697,4441,27,24
2004,East Carolina,Conference USA,189,234,4,12,19,23,9,12,12,9,11,0,1,50,226,19,12,2645,2563,382,273,207,164,12,18,18,18,0,0,0,0,11658,12409,1,3,440,454,33,49,369,522,7,31,1021,2566,58,56,170,144,3392,5025,28,24
2004,Eastern Michigan,Mid-American,230,258,11,7,23,16,9,9,9,9,11,0,0,44,192,13,5,2853,3012,434,342,223,230,5,12,19,26,0,5,0,29,10384,11432,1,0,175,79,27,16,371,430,13,25,1576,1886,71,48,169,125,4368,4767,22,14
2004,Florida,SEC,254,239,5,7,7,17,9,8,8,9,12,0,0,190,57,12,17,3394,2583,407,395,243,219,17,12,29,14,0,0,0,0,12340,13945,0,2,207,328,41,33,415,464,20,10,1870,1703,70,72,165,188,5123,4147,21,25
2004,Florida A&M,FBS Independents,76,103,0,3,0,5,5,5,5,5,18,0,2,0,82,5,1,849,886,186,94,113,63,0,5,0,9,24,0,208,0,4235,4555,0,0,0,158,0,15,125,199,4,13,323,1094,0,25,0,50,1292,1971,10,6
2004,Florida State,ACC,233,184,12,3,20,13,9,15,15,9,12,2,1,164,116,15,16,2737,2656,402,380,215,204,16,15,11,8,0,0,0,0,13301,12810,0,1,619,269,59,42,460,418,19,4,1944,997,40,45,177,179,4470,3406,24,31
2004,Fresno State,Western Athletic,246,221,7,13,9,26,7,14,14,7,12,4,2,437,115,15,16,2215,2233,298,362,175,185,14,11,23,8,0,8,0,109,13101,13078,1,0,311,31,45,19,506,486,36,21,2730,1974,74,64,156,173,4854,4071,22,30
2004,Georgia,SEC,235,190,10,3,14,14,15,15,15,15,12,0,2,33,69,5,5,3127,2418,363,326,201,180,5,5,24,12,0,2,0,10,13287,12978,1,0,384,248,46,36,463,421,16,7,1882,1283,65,36,168,145,4854,3467,20,20
2004,Georgia Tech,ACC,229,192,3,4,13,14,13,7,7,13,12,2,2,99,180,18,10,2406,2616,346,395,169,215,10,15,17,11,0,4,0,25,13738,12588,0,0,339,186,55,33,486,405,11,12,1947,1276,54,47,169,166,4157,3596,31,17
2004,Hawai'i,Western Athletic,288,326,4,13,15,22,8,11,11,8,13,1,1,65,181,18,14,4505,3251,636,423,370,236,12,16,38,21,0,0,0,0,12884,15219,5,0,543,401,38,43,264,609,17,42,1247,3284,71,82,173,193,5649,6341,26,25
2004,Houston,Conference USA,233,221,8,7,23,13,8,8,8,8,11,1,0,179,17,6,14,3047,2400,354,288,198,174,14,6,11,18,0,0,0,0,12405,11670,0,2,106,238,20,26,466,448,15,25,1521,2116,64,51,172,139,4287,4392,14,22
2004,Idaho,Sun Belt,229,266,11,7,23,19,17,12,12,17,12,1,2,171,195,14,15,2771,2946,395,358,250,202,15,14,14,24,0,0,0,0,13955,12073,0,2,137,515,26,52,456,471,17,29,1580,2359,57,67,180,159,4081,5144,31,27
