season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2006,Air Force,Mountain West,241,230,12,8,22,14,10,11,11,10,12,0,1,67,20,4,9,0,0,0,0,0,0,1317,2669,146,303,84,202,9,4,12,20,47,66,410,535,13216,11834,1,0,143,144,18,24,660,415,21,15,2752,1695,95,79,174,141,3967,4256,14,20
2006,Akron,Mid-American,206,215,15,15,27,29,9,15,15,9,12,0,2,68,174,11,7,0,0,0,0,0,0,2965,2323,384,336,202,186,7,10,18,13,110,92,873,793,12443,13506,0,0,59,260,38,43,365,485,13,18,1005,1635,44,66,158,184,3725,3869,20,22
2006,Alabama,SEC,247,196,7,10,13,17,13,12,12,13,13,3,2,266,199,10,16,0,0,0,0,0,0,2976,2350,393,331,224,184,16,10,17,15,77,90,547,732,15271,13198,2,0,308,190,41,40,455,409,10,12,1600,1620,77,54,186,162,4367,3870,23,28
2006,Arizona,Pac-10,173,192,10,1,15,10,4,15,15,4,12,1,3,168,238,14,13,0,0,0,0,0,0,2273,2568,356,358,191,221,13,13,9,14,68,70,573,578,13495,12650,1,1,260,364,33,38,379,369,11,10,1010,1436,53,55,173,142,3034,3915,18,28
2006,Arizona State,Pac-10,249,224,7,6,20,11,13,12,12,13,13,3,3,182,240,14,15,0,0,0,76,0,2,2788,2851,349,388,190,211,15,14,23,28,103,83,845,767,13817,13287,0,1,296,149,42,27,497,423,17,9,2206,1523,64,59,169,161,4775,4257,27,27
2006,Arkansas,SEC,249,243,4,5,13,18,7,6,6,7,14,3,0,329,206,18,16,0,0,60,192,3,9,2163,2781,302,432,154,214,16,18,23,20,82,81,743,618,15263,16861,0,0,242,152,45,28,539,461,26,10,3199,1603,70,61,168,188,4864,3934,25,22
2006,Arkansas State,Sun Belt,224,186,4,7,17,14,18,9,9,18,12,1,2,293,294,15,19,0,0,0,0,0,0,1976,2037,300,277,144,158,19,15,8,14,68,80,594,741,14711,11652,0,0,68,168,21,25,507,393,12,18,2012,1782,76,52,176,137,3747,3713,33,28
2006,Army,FBS Independents,187,230,10,9,15,18,15,15,15,15,12,0,3,30,298,24,4,0,0,0,127,0,10,1746,1924,293,268,163,167,4,24,10,16,51,70,432,617,12289,13222,2,1,325,178,30,28,417,499,16,22,1531,2386,58,61,155,151,3132,4258,39,19
2006,Auburn,SEC,220,218,11,8,14,19,10,21,21,10,13,0,1,169,134,10,10,0,0,12,0,1,0,2382,2374,282,339,171,185,10,10,14,13,72,58,595,465,15129,14861,1,0,153,176,38,20,470,434,21,8,1926,1615,63,64,156,166,3990,3490,20,31
2006,BYU,Mountain West,307,238,6,11,11,24,5,10,10,5,13,2,1,208,135,9,18,0,0,0,0,0,0,4326,2846,452,445,311,245,18,9,33,12,91,66,719,530,14734,13531,1,0,399,125,42,24,437,408,27,10,1845,1483,94,58,168,177,6051,4149,14,28
