season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2017,Air Force,Mountain West,290,212,16,5,26,9,14,5,4,10,12,1,0,64,73,6,5,0,0,454,529,26,31,1321,2053,142,243,69,135,5,6,10,16,48,50,459,457,24085,19109,0,1,103,122,12,9,766,451,38,31,3683,2674,7,21,38,60,81,60,167,142,5004,4727,20,10
2017,Akron,Mid-American,257,328,6,17,14,29,6,8,8,6,14,3,0,398,85,11,19,0,0,602,924,33,46,2949,3333,447,460,242,285,19,11,24,24,88,90,873,877,24147,26253,0,1,12,330,6,23,459,570,14,24,1480,2867,22,38,74,92,81,65,203,190,4429,6200,17,27
2017,Alabama,SEC,311,215,15,7,18,19,7,5,4,7,14,2,1,279,97,3,19,0,0,438,973,20,53,2708,2320,332,426,204,229,19,3,28,8,70,61,569,455,24993,25407,0,0,301,39,39,6,612,487,36,9,3509,1326,40,27,100,56,72,74,177,216,6217,3646,10,24
2017,App State,Sun Belt,272,222,13,6,24,12,8,8,8,7,13,0,0,382,22,6,18,0,1,666,989,30,52,2811,2664,356,380,215,219,18,6,28,14,91,93,831,789,24382,22418,0,0,222,131,26,17,529,459,27,14,2904,1789,39,8,89,72,71,60,177,183,5715,4453,14,26
2017,Arizona,Pac-12,306,322,12,14,17,25,9,6,6,10,13,2,1,320,83,13,19,0,0,771,625,31,28,2343,3719,295,493,183,307,19,13,19,25,68,107,705,993,22264,24536,2,1,186,205,18,17,613,522,48,32,4021,2406,30,17,73,66,71,92,170,197,6364,6125,22,25
2017,Arizona State,Pac-12,282,289,10,7,18,18,6,6,6,5,13,2,2,95,116,9,11,0,1,734,511,39,22,3324,3535,416,458,264,288,11,9,21,20,50,88,487,744,24492,22308,1,0,115,156,20,28,565,466,27,31,2276,2311,37,47,81,81,93,76,211,181,5600,5846,15,17
2017,Arkansas,SEC,238,257,9,10,18,15,9,9,9,9,12,0,2,143,94,9,8,1,1,957,735,46,41,2465,2906,340,346,192,205,8,9,18,23,58,65,505,542,22617,20583,0,0,51,46,4,10,462,469,24,28,2016,2353,19,35,48,82,69,77,165,161,4481,5259,18,17
2017,Arkansas State,Sun Belt,320,232,5,4,15,11,8,10,12,8,12,1,0,198,152,17,14,0,3,676,1048,36,49,4106,2897,512,397,317,204,14,17,38,18,94,83,828,721,20777,22423,1,0,370,8,31,4,463,460,17,17,1831,1633,35,33,98,67,80,61,180,185,5937,4530,25,24
2017,Army,FBS Independents,270,236,19,14,30,19,4,9,9,4,13,1,1,93,121,6,6,0,1,712,981,39,48,361,2298,65,303,20,190,6,6,2,14,55,63,472,492,27089,19711,1,0,109,61,12,7,785,424,50,23,4710,2242,25,5,51,40,91,55,165,137,5071,4540,10,15
2017,Auburn,SEC,312,233,7,14,15,30,14,13,13,13,14,2,1,82,52,6,6,0,1,627,680,27,25,3267,2553,382,428,255,232,6,6,21,16,63,84,537,679,26343,24057,1,1,175,160,23,14,642,529,34,11,3056,1918,32,34,77,82,95,73,210,222,6323,4471,20,19
2017,BYU,FBS Independents,215,267,8,14,26,25,8,9,9,8,13,1,2,224,334,19,8,0,0,667,591,38,32,2530,2928,418,386,228,254,8,19,13,19,59,69,509,637,21753,25047,0,0,118,64,24,18,404,520,12,15,1697,1919,17,26,56,49,64,76,179,187,4227,4847,27,17
2017,Ball State,Mid-American,225,242,8,4,24,12,7,6,6,6,12,0,4,13,371,14,6,1,0,1042,741,49,38,2126,2803,405,316,228,186,6,14,11,29,49,49,479,478,23881,19319,0,3,87,284,10,27,497,448,15,27,1896,2256,24,33,69,72,79,69,203,148,4022,5059,21,12
2017,Baylor,Big 12,239,264,17,10,33,16,11,8,8,11,12,0,3,20,172,14,3,0,1,662,1031,37,44,3452,3204,462,386,269,255,3,14,23,25,88,79,671,787,21417,21783,0,0,60,59,7,20,414,463,10,22,1407,2279,23,38,83,94,61,66,189,169,4859,5483,25,11
2017,Boise State,Mountain West,296,250,3,14,17,23,6,11,9,4,14,1,3,225,210,7,15,0,0,917,659,38,30,3677,2974,449,470,281,280,15,7,26,17,82,62,700,585,26252,24148,2,0,310,63,30,17,532,495,25,20,2004,1683,34,29,80,80,93,78,203,208,5681,4657,13,26
2017,Boston College,ACC,246,235,12,7,30,17,8,7,7,7,13,2,1,388,101,12,18,0,0,946,726,43,33,2162,2491,367,409,198,210,18,12,16,10,47,61,388,491,23736,23064,0,0,354,135,27,29,618,517,24,26,2865,2486,26,15,76,76,85,77,221,208,5027,4977,20,25
2017,Bowling Green,Mid-American,232,313,6,9,18,19,13,14,11,10,12,0,3,78,141,12,9,0,0,970,735,47,46,2820,3040,417,376,226,221,9,12,21,22,89,65,827,560,19596,23604,0,0,104,64,13,15,430,544,13,35,1820,3039,15,29,54,82,64,77,176,161,4640,6079,25,23
2017,Buffalo,Mid-American,252,259,8,10,12,19,7,6,6,7,12,0,0,39,2,6,8,0,0,634,765,36,39,3490,2440,400,336,234,199,8,6,24,18,67,68,597,643,21449,21751,0,0,142,92,17,11,428,534,18,21,1693,2343,19,23,53,47,70,78,169,184,5183,4783,13,14
2017,California,Pac-12,265,268,17,8,25,18,8,10,9,8,12,1,1,193,309,12,14,0,0,945,680,48,33,3107,3190,476,413,278,267,14,12,19,18,78,91,658,815,21230,21970,0,0,89,178,9,18,416,475,17,21,1507,1969,28,35,67,85,78,80,194,182,4614,5159,20,24
2017,Central Michigan,Mid-American,238,250,10,9,18,19,14,12,12,14,13,1,2,172,240,17,19,1,0,1049,828,52,44,3324,2412,469,402,263,220,19,17,27,16,83,90,804,792,22249,24551,0,0,109,256,21,29,454,557,19,24,1743,2408,34,23,79,83,56,74,186,211,5067,4820,31,31
2017,Charlotte,Conference USA,168,282,9,6,20,15,4,9,9,4,12,0,5,0,349,16,2,0,0,994,441,44,24,1643,2985,312,369,146,255,2,17,10,18,78,60,771,500,19125,24075,0,0,81,110,17,18,428,517,13,26,1995,2470,11,22,50,78,45,71,173,163,3638,5455,20,11
2017,Cincinnati,American Athletic,236,275,8,14,15,18,7,6,5,7,12,1,3,83,190,9,5,0,1,724,658,35,33,2597,2833,434,353,245,219,5,9,20,23,94,86,876,802,19150,23150,0,0,108,67,13,14,371,526,11,19,1624,2309,12,17,58,62,67,77,172,178,4221,5142,16,11
2017,Clemson,ACC,309,206,13,15,18,26,7,6,6,7,14,3,1,214,98,9,14,0,0,538,1163,28,60,3297,2266,470,396,309,208,14,9,17,16,69,74,608,631,25764,24636,1,0,322,206,29,21,578,512,40,5,2717,1608,46,31,110,77,101,65,218,222,6014,3874,16,20
2017,Coastal Carolina,Sun Belt,220,261,7,7,17,11,7,6,5,7,12,0,0,110,86,11,5,0,4,1036,1082,51,47,2269,2895,304,346,158,219,5,11,18,20,84,67,754,625,21822,21378,0,0,185,140,26,24,446,469,15,28,1875,2034,15,29,65,79,55,77,153,161,4144,4929,18,11
2017,Colorado,Pac-12,271,279,13,6,26,16,5,6,6,5,12,1,2,185,116,9,8,0,0,585,478,27,25,3125,2911,410,407,244,227,8,9,19,17,75,64,668,601,20773,22427,1,0,200,75,20,15,499,477,17,23,1886,2496,19,47,54,72,79,73,189,173,5011,5407,14,14
2017,Colorado State,Mountain West,331,277,7,7,20,18,6,6,6,6,13,1,1,76,108,10,12,0,0,517,751,24,35,3799,3179,459,418,284,237,12,10,29,21,81,73,741,633,24906,21894,0,2,122,136,14,13,518,474,26,22,2603,2432,27,13,67,59,92,79,184,179,6402,5611,16,18
