team,color
Air Force,#003087
Akron,#041E42
Alabama,#9E1B32
Appalachian State,#222222
Arizona,#CC0033
Arizona State,#942139
Arkansas,#9D2235
Arkansas State,#CC092F
Army,#9E7E38
Auburn,#0C2340
Ball State,#BA0C2F
Baylor,#154734
Boise State,#0033A0
Boston College,#8A100B
Bowling Green,#402419
Buffalo,#005BBB
BYU,#002E5D
California,#003262
Central Michigan,#6A0032
Charlotte,#046A38
Cincinnati,#D50A0A
Clemson,#F56600
Coastal Carolina,#008E97
Colorado,#CFB87C
Colorado State,#215732
Connecticut,#003069
Duke,#00539B
East Carolina,#4B1869
Eastern Michigan,#006633
FIU,#081E3F
Florida,#FA4616
Florida Atlantic,#003366
Florida State,#782F40
Fresno State,#C41230
Georgia,#BA0C2F
Georgia Southern,#041E42
Georgia State,#0039A6
Georgia Tech,#B3A369
Hawaii,#024731
Houston,#C8102E
Illinois,#E84A27
Indiana,#990000
Iowa,#FFCD00
Iowa State,#C8102E
Jacksonville State,#D11F3E
James Madison,#450084
Kansas,#0051BA
Kansas State,#512888
Kent State,#003776
Kentucky,#0033A0
Liberty,#A41E34
Louisiana,#CE181E
Louisiana-Monroe,#882D17
Louisiana Tech,#003087
Louisville,#AD0000
LSU,#461D7C
Marshall,#00B140
Maryland,#E03A3E
Memphis,#0046AD
Miami (FL),#F47321
Miami (OH),#B31B1B
Michigan,#00274C
Michigan State,#18453B
Middle Tennessee,#0066CC
Minnesota,#7A0019
Mississippi State,#660000
Missouri,#F1B82D
Navy,#00205B
NC State,#CC0000
Nebraska,#E41C38
Nevada,#003366
New Mexico,#D50032
New Mexico State,#861F41
North Carolina,#4B9CD3
North Texas,#00853E
Northern Illinois,#A6192E
Northwestern,#4E2A84
Notre Dame,#C99700
Ohio,#00703C
Ohio State,#BB0000
Oklahoma,#841617
Oklahoma State,#FF7300
Old Dominion,#003057
Ole Miss,#006BA6
Oregon,#154733
Oregon State,#DC4405
Penn State,#041E42
Pittsburgh,#003594
Purdue,#CEB888
Rice,#00205B
Rutgers,#CC0033
San Diego State,#A6192E
San Jose State,#0055A2
SMU,#C0043F
South Alabama,#00205B
South Carolina,#73000A
South Florida,#006747
Southern Miss,#FFB612
Stanford,#8C1515
Syracuse,#F76900
TCU,#4D1979
Temple,#9D2235
Tennessee,#FF8200
Texas,#BF5700
Texas A&M,#500000
Texas State,#501214
Texas Tech,#CC0000
Toledo,#15397F
Troy,#7C878E
Tulane,#006747
Tulsa,#0066CC
UAB,#007A33
UCF,#BBA14F
UCLA,#2774AE
UConn,#003069
UMass,#881C1C
UNLV,#D8262C
USC,#990000
UTEP,#041E42
UTSA,#0C2340
Utah,#CC0000
Utah State,#0F2439
Vanderbilt,#866D4B
Virginia,#232D4B
Virginia Tech,#861F41
Wake Forest,#9E7E38
Washington,#4B2E83
Washington State,#981E32
West Virginia,#002855
Western Kentucky,#D40A2F
Western Michigan,#8B5B29
Wisconsin,#C5050C
Wyoming,#FFC425
Abilene Christian,#4E2A84
Alabama A&M,#88131A
Alabama State,#000000
Albany,#461D7C
Alcorn State,#582C83
American International,#FDB913
Arkansas-Pine Bluff,#231F20
Austin Peay,#CC092F
Bethune-Cookman,#5E2129
Big South,#1B365D
Brown,#4E3629
Bryant,#A89968
